ID_EVENTO,ID_PROD,FECHA_CONTROL,TIPO_OBJETIVO,TIPO_CONTROL,MOLECULA_ACTIVA
16,34,5/1/2013,Plagas,Químico,PROFENOFOS 50% + LUFENURON
16,34,5/1/2013,Malezas,Químico,Glifosato
16,34,5/1/2013,Enfermedades,Químico,AZIMUT
21,38,3/5/2013,Plagas,Químico,ATRIN
21,38,2/18/2013,Malezas,Químico,Atrazina
21,38,3/5/2013,Enfermedades,Químico,NATIVO
23,39,3/22/2013,Plagas,Químico,Cipermetrina
23,39,3/8/2013,Malezas,Químico,Glufosinato de amonio
23,39,6/3/2013,Enfermedades,Químico,Opus
24,40,2/22/2013,Plagas,Químico,MATCH
24,40,2/8/2013,Malezas,Químico,Pendimentalina
24,40,2/8/2013,Malezas,Químico,Atrazina
24,40,3/21/2013,Enfermedades,Químico,SILVACUR
25,41,4/15/2013,Plagas,Químico,Curacrom
25,41,4/15/2013,Enfermedades,Químico,Tanden
26,42,3/27/2013,Plagas,Químico,Piretroides
26,42,2/27/2013,Malezas,Químico,Pendimentalina
26,42,2/27/2013,Malezas,Químico,Atrazina
26,42,3/29/2013,Enfermedades,Químico,Mancozeb
27,43,3/29/2013,Plagas,Químico,Match
27,43,4/14/2013,Plagas,Químico,Curacrom
27,43,4/22/2013,Malezas,Químico,Glufosinato de amonio
27,43,6/3/2013,Enfermedades,Químico,Propiconazol
28,45,3/15/2013,Plagas,Químico,Piretroides
28,45,2/26/2013,Malezas,Químico,Paraquat
28,45,4/20/2013,Enfermedades,Químico,Nativo
31,47,4/19/2013,Plagas,Químico,CURACROM
31,47,4/19/2013,Plagas,Químico,Curacrom
31,47,4/17/2013,Malezas,Químico,CALLICUAT
31,47,4/17/2013,Malezas,Químico,Glifosato
32,48,4/10/2013,Plagas,Químico,MACT
32,48,5/2/2013,Plagas,Químico,Piretroides
40,50,4/6/2013,Malezas,Químico,Glifosato
41,51,6/3/2013,Plagas,Químico,Cipermetrina
41,51,2/25/2013,Plagas,Químico,Match
41,51,3/4/2013,Enfermedades,Químico,MANZATE
41,51,4/10/2013,Enfermedades,Químico,Carbendazim
43,52,5/8/2013,Plagas,Químico,MACT
43,52,5/8/2013,Malezas,Químico,CARBENDACIN
43,52,5/8/2013,Enfermedades,Químico,CIPERTRINA
44,54,5/15/2013,Plagas,Químico,MACT
44,54,5/15/2013,Malezas,Químico,Glifosato
44,54,5/15/2013,Enfermedades,Químico,PROPICAL
46,55,3/26/2013,Malezas,Químico,Glifosato
46,55,3/26/2013,Enfermedades,Químico,GLIFOSATO
53,13,6/6/2013,Plagas,Químico,Cipermetrina
53,13,6/11/2013,Malezas,Químico,Glifosato
54,14,6/29/2013,Plagas,Químico,Cipermetrina
54,14,6/25/2013,Malezas,Químico,Glifosato
56,15,6/5/2013,Malezas,Químico,Glifosato
57,16,5/15/2013,Malezas,Químico,Glifosato
57,16,5/15/2013,Malezas,Químico,2.4-D
62,75,4/10/2013,Plagas,Químico,Lorsban 4E
143,156,4/11/2013,Malezas,Químico,Glufosinato de amonio
143,156,4/15/2013,Malezas,Químico,Atrazina
211,234,4/29/2013,Malezas,Químico,Atrazina
211,234,4/29/2013,Malezas,Químico,Glufosinato de amonio
216,237,4/10/2013,Malezas,Químico,Atrazina
216,237,4/22/2013,Malezas,Químico,Atrazina
216,237,5/23/2013,Malezas,Químico,Glufosinato de amonio
