ID_PROD,ID_LOTE,ID_FINCA,NOMBRE_LOTE,TIPO_LOT,LATITUD_LOT,LONGITUD_LOT,ALTURA_LOT,AREA_LOT,NOMBRE_MUN
1398,1425,1296,LA ESMERALDA,3,6.616888889,-73.10130556,1638,1.5,CURITÍ
1438,1489,1336,LOTE 2,3,6.605944444,-73.09194444,1637,0.75,CURITÍ
951,861,821,EL PEDREGAL,3,6.641539588,-73.06425973,1694,1,CURITÍ
922,826,790,ACONCAGUA,3,6.666101939,-73.06375523,1728,1,CURITÍ
1034,914,902,LA BASTILLA,3,6.635283106,-73.08731722,1852,0.75,CURITÍ
1309,1308,1206,LA ESPERANZA,3,6.607694444,-73.1055,1553,0.5,CURITÍ
1079,1024,959,LOTE 1,2,6.649348534,-73.1097565,1750,1.3,CURITÍ
1316,1324,1212,LOTE 2,3,6.612916667,-73.1025,1656,0.5,CURITÍ
1086,1034,966,CAMPO HERMOSO,3,6.642313155,-73.08481188,1861,0.9,CURITÍ
1402,1439,1300,LOTE 5,3,6.613444444,-73.09,1576,0.8,CURITÍ
1337,1345,1234,EL PARAISO ,2,6.611805556,-73.09891667,1652,0.75,CURITÍ
1026,907,896,LOTE CASA,2,6.647899475,-73.08825245,1822,0.8,CURITÍ
1438,1493,1336,LOTE 4,3,6.609083333,-73.10680556,1584,0.5,CURITÍ
1093,1043,973,LA FORTUNA,3,6.645469599,-73.08725017,1815,1,CURITÍ
952,863,822,EL VERGEL,2,6.635833333,-73.08861111,1843,1.4,CURITÍ
902,800,770,LOTE CASA,3,6.650277778,-73.06138889,1718,2.7,CURITÍ
1079,1026,959,LOTE 3,3,6.64918602,-73.10944142,1764,0.25,CURITÍ
917,821,785,MORROS,3,6.652979547,-73.07090546,1684,0.5,CURITÍ
1157,1124,1050,EL ALGODÓN,3,6.596573809,-73.09665421,1650,0.75,CURITÍ
1027,909,897,ANTENA,3,6.641449469,-73.08366358,1904,0.6,CURITÍ
954,865,824,VOLADOR,3,6.654444444,-73.06888889,1766,0.5,CURITÍ
1408,1447,1306,LOTE 2,3,6.614277778,-73.08908333,1597,1,CURITÍ
1428,1482,1326,LOTE 2,3,6.611861111,-73.08913889,1592,0.5,CURITÍ
1081,1028,961,LLANO VERDE,2,6.649235191,-73.10836302,1770,0.3,CURITÍ
942,848,810,EL ARRAYAN,3,6.649777778,-73.08352778,1792,1,CURITÍ
1088,1038,968,LOTE 2,3,6.645349711,-73.08430142,1863,0.25,CURITÍ
947,854,818,LOTE 2,3,6.653862601,-73.08090554,1760,0.5,CURITÍ
1329,1336,1226,LOTE 2,2,6.612472222,-73.09963889,1665,0.5,CURITÍ
919,823,787,DARIO,3,6.651867345,-73.06525523,1672,0.3,CURITÍ
1384,1406,1281,PIEDRA GORDA,3,6.615666667,-73.10158333,1648,0.8,CURITÍ
1158,1126,1051,EL GUAMITO,3,6.599431182,-73.09764139,1643,1.75,CURITÍ
1031,911,899,BUENAVISTA,3,6.643418941,-73.08762776,1817,0.3,CURITÍ
1306,1305,1203,LOTE 2,3,6.607,-73.10594444,1551,0.75,CURITÍ
1353,1368,1250,LA ESMERALDA,3,6.605444444,-73.09194444,1654,0.25,CURITÍ
1402,1432,1300,LOTE 2,3,6.614722222,-73.09805556,1597,1.75,CURITÍ
1325,1326,1222,LA MALAGUEÑA,3,6.613777778,-73.10141667,1690,0.5,CURITÍ
1408,1455,1306,LOTE 4 ,3,6.607083333,-73.10552778,1562,0.25,CURITÍ
1024,904,894,EL ROSO,3,6.648867078,-73.08758914,1887,0.6,CURITÍ
1348,1360,1245,ARMENIA,2,6.608833333,-73.09963889,1584,0.6,CURITÍ
1038,919,906,CANEY SOLO,3,6.63178381,-73.09164976,1770,0.5,CURITÍ
1438,1487,1336,LOTE 1,3,6.606416667,-73.09258333,1624,0.75,CURITÍ
950,860,820,LOTE 1,3,6.655277778,-73.08166667,1792,0.25,CURITÍ
