ID_EVENTO,ID_PROD,FECHA_PREP,PROF_PREP
16,34,4/1/2013,0
21,38,1/20/2013,20
23,39,3/1/2013,50
23,39,3/1/2013,30
24,40,1/20/2013,35
25,41,2/15/2013,60
25,41,3/15/2013,20
26,42,2/18/2013,100
26,42,2/18/2013,40
27,43,3/3/2013,70
27,43,3/3/2013,30
28,45,2/10/2013,20
31,47,3/10/2013,0
32,48,4/8/2013,30
32,48,4/8/2013,15
40,50,3/7/2013,15
41,51,1/3/2013,50
41,51,1/3/2013,20
43,52,4/3/2013,15
44,54,4/5/2013,25
44,54,4/5/2013,15
46,55,3/20/2013,0
53,13,4/21/2013,30
54,14,5/1/2013,40
54,14,4/20/2013,30
56,15,4/20/2013,30
57,16,4/23/2013,30
62,75,3/18/2013,15
143,156,3/15/2013,30
143,156,3/22/2013,30
143,156,3/15/2013,20
143,156,3/20/2013,15
143,156,3/20/2013,20
143,156,3/26/2013,15
216,237,3/27/2013,20
216,237,3/4/2013,20
216,237,3/9/2013,15
216,237,3/12/2013,20
216,237,3/12/2013,15
217,240,3/20/2013,20
217,240,9/27/2013,15
221,242,5/3/2013,25
221,242,5/10/2013,15
250,190,3/12/2013,0
250,190,3/18/2013,0
255,184,2/20/2013,0
256,183,2/22/2013,0
258,78,2/8/2013,0
259,180,2/6/2013,0
260,182,3/20/2013,0
262,90,3/15/2013,0
263,181,3/5/2013,0
265,157,0000-00-00,0
266,179,3/11/2013,0
266,179,3/12/2013,0
268,91,3/11/2013,0
269,92,2/11/2013,0
272,189,2/20/2013,0
273,17,4/23/2013,20
273,17,4/22/2013,30
276,94,2/20/2013,0
277,185,3/12/2013,0
278,87,2/12/2013,0
280,88,3/20/2013,0
281,89,3/12/2013,0
282,18,4/18/2013,30
283,22,4/15/2013,30
284,266,4/30/2013,40
284,266,4/30/2013,30
287,268,5/20/2013,30
288,269,4/22/2013,30
288,269,4/22/2013,30
289,271,4/22/2013,30
289,271,4/22/2013,30
290,272,5/4/2013,30
291,273,5/15/2013,30
293,275,5/15/2013,30
301,33,3/3/2013,25
303,35,3/2/2013,25
356,331,4/12/2013,20
356,331,4/14/2013,15
358,231,3/4/2013,20
358,231,3/9/2013,15
359,233,3/8/2013,20
359,233,3/11/2013,15
385,355,4/29/2013,20
385,355,4/29/2013,15
386,356,3/9/2013,20
386,356,3/12/2013,15
393,49,4/14/2013,30
394,37,2/1/2013,15
418,394,8/10/2013,0
418,394,8/10/2013,0
420,395,8/26/2013,0
427,447,8/27/2013,0
433,453,8/8/2013,20
433,453,7/28/2013,0
464,156,8/28/2013,30
464,156,9/1/2013,15
468,391,9/4/2013,20
468,391,9/8/2013,15
509,388,9/5/2013,20
509,388,9/7/2013,15
510,388,9/23/2013,30
510,388,9/27/2013,20
510,388,9/30/2013,30
510,388,10/1/2013,20
511,387,9/23/2013,30
511,387,10/1/2013,20
541,510,9/5/2013,10
555,404,8/15/2013,0
556,498,9/20/2013,0
562,532,8/13/2013,20
608,534,8/18/2013,0
609,533,1/14/2014,0
610,534,9/2/2013,0
611,536,11/4/2013,0
611,536,7/15/2013,30
611,536,7/15/2013,30
615,539,10/14/2013,0
616,540,9/11/2013,0
622,449,9/2/2013,0
623,454,8/28/2013,20
624,452,8/10/2013,0
625,451,8/30/2013,20
626,450,8/12/2013,20
629,549,10/15/2013,0
631,547,8/15/2013,20
633,551,8/28/2013,20
635,552,8/5/2013,40
635,552,8/5/2013,25
645,554,8/15/2013,30
656,622,3/20/2014,30
656,622,3/24/2014,25
668,598,3/17/2014,15
668,598,3/19/2014,10
668,598,3/19/2014,NULL
671,604,3/1/2014,15
671,604,3/3/2014,10
671,604,3/4/2014,NULL
672,606,4/30/2014,15
672,606,5/2/2014,8
672,606,5/3/2014,NULL
673,602,4/24/2014,20
673,602,4/26/2014,8
673,602,4/28/2014,NULL
674,605,4/10/2014,20
674,605,4/12/2014,10
674,605,4/14/2014,NULL
675,600,8/6/2014,15
675,600,4/8/2014,8
675,600,4/9/2014,NULL
676,607,3/6/2014,20
676,607,3/8/2014,8
676,607,3/9/2014,NULL
678,603,4/5/2014,15
680,537,7/29/2013,30
681,538,8/19/2013,NULL
693,687,3/20/2014,30
693,687,3/25/2014,20
697,688,3/18/2014,30
697,688,3/21/2014,25
699,391,4/20/2014,30
699,391,4/25/2014,25
700,391,4/16/2014,20
700,391,4/24/2014,15
701,599,5/5/2014,16
701,599,5/7/2014,8
701,599,5/8/2014,NULL
702,601,3/14/2014,30
702,601,3/15/2014,15
702,601,3/17/2014,8
702,601,3/18/2014,NULL
719,692,2/28/2014,5
723,673,3/21/2014,NULL
724,672,3/7/2014,20
725,673,3/21/2014,20
726,672,3/28/2014,20
727,672,3/14/2014,20
729,696,3/20/2014,20
730,631,3/7/2014,25
730,631,3/18/2014,20
731,632,3/5/2014,25
731,632,3/19/2014,20
732,628,3/5/2014,30
732,628,3/15/2014,20
733,626,2/27/2014,30
733,626,3/19/2014,20
735,627,3/3/2014,25
