ID_EVENTO,ID_LOTE,ID_FINCA,ID_PROD,LAT_LOTE,LONG_LOTE,FECHA_SIEMBRA,TIPO_SIEMBRA,NUM_SEMILLAS,SEM_TRATADAS,DIST_SURCOS,DIST_PLANTAS,TIPO_CULTIVO,COLOR_ENDOSPERMO,SEM_POR_SITIO,TIPO_DE_SEMILLA,HABITO_CRECIMIENTO,MATERIAL_GENETICO,OBJ_RDT,CULT_ANT,DRENAJE,FECHA_EMERGENCIA,POBLACION_20DIAS,FECHA_FLORACION,FECHA_COSECHA,METODO_COSECHA,RDT,PROD_COSECHADO,NOMBRE_LOTE,ORIGEN_SEMILLA,INOCULACION_SEMILLAS,NUEVA_INOCULACION_SEMILLAS,PRODUCTO_USADO,TIPO_MATERIAL,NUEVO_MATERIAL_GENETICO,OTRO_CULT_ANT,RESIEMBRA,CANTIDAD_TOTAL,HUMEDAD,ALMACENAMIENTO_FINCA,OBSERVACIONES_COSECHA,DEPARTAMENTO,MUNICIPIO,AREA
53,40,42,13,8.877222222,-75.76444444,5/13/2013,Mecanizado,60000,NO,0.8,0.2,Maiz,Blanco,2,N/A,N/A,PIONEER 30F32,5000,Algodón,SI,5/18/2013,60000,7/20/2013,9/26/2013,Manual,5000,Grano seco,VILLA GABRIELA,NULL,NULL,NULL,NULL,Hibrido,,NULL,NULL,5000,18,NO,,CÓRDOBA,CERETÉ,1
54,43,43,14,8.879166667,-75.76555556,5/2/2013,Mecanizado,60000,SI,0.8,0.2,Maiz,Blanco,1,N/A,N/A,DK 234,5,Maiz,SI,5/7/2013,60000,7/10/2013,9/11/2013,Manual,5000,Grano seco,VILLA LOURDES,NULL,NULL,NULL,Insecticidas,Hibrido,,NULL,NULL,5000,20,NO,,CÓRDOBA,CERETÉ,1
56,44,44,15,8.88,-75.76583333,5/12/2013,Mecanizado,60000,NO,0.8,0.2,Maiz,Blanco,1,N/A,N/A,PIONEER 30F32,5,Algodón,SI,5/17/2013,60000,7/15/2013,9/19/2013,Manual,5500,Grano seco,SANTA MARTA,NULL,NULL,NULL,NULL,Hibrido,,NULL,NULL,5500,19,NO,,CÓRDOBA,CERETÉ,1
57,45,45,16,8.878611111,-75.75888889,5/7/2013,Mecanizado,60000,NO,0.8,0.2,Maiz,Blanco,1,N/A,N/A,Otro,5,Algodón,SI,5/12/2013,60000,7/15/2013,9/12/2013,Manual,5200,Grano seco,PALMAR,NULL,NULL,NULL,NULL,Hibrido,7019,NULL,NULL,5200,19,NO,,CÓRDOBA,CERETÉ,1
273,46,46,17,8.876388889,-75.75916667,5/7/2013,Mecanizado,60000,NO,0.8,0.2,Maiz,Blanco,1,N/A,N/A,Otro,5000,Algodón,SI,5/12/2013,60000,7/14/2013,9/12/2013,Manual,5700,Grano seco,DONDE FIDEL,NULL,NULL,NULL,NULL,Hibrido,7019,NULL,NULL,5700,20,NO,,CÓRDOBA,CERETÉ,1
282,47,47,18,8.8475,-75.76666667,5/8/2013,Mecanizado,60000,SI,0.8,0.2,Maiz,Blanco,2,N/A,N/A,DK 234,5,Maiz,SI,5/14/2013,60000,7/25/2013,9/18/2013,Manual,5200,Grano seco,VILLA LUZ,NULL,NULL,NULL,Insecticidas,Hibrido,,NULL,NULL,5200,18,NO,,CÓRDOBA,CERETÉ,1
283,51,50,22,8.847777778,-75.7675,5/2/2013,Manual,60000,SI,0.8,0.2,Maiz,Blanco,3,N/A,N/A,Otro,5,Maiz,SI,5/7/2013,60000,6/23/2013,9/17/2013,Manual,4700,Grano seco,VILLA MARIA,NULL,NULL,NULL,Insecticidas,Hibrido,1430,NULL,NULL,4700,19,NO,,CÓRDOBA,CERETÉ,1
284,268,240,266,8.853055556,-75.75777778,5/9/2013,Manual,60000,SI,0.8,0.2,Maiz,Blanco,3,N/A,N/A,PIONEER 30F32,5,Algodón,SI,5/14/2013,60000,6/25/2013,9/22/2013,Manual,6000,Grano seco,DONDE TIBERIO,NULL,NULL,NULL,Insecticidas,Hibrido,,NULL,NULL,6000,17,NO,,CÓRDOBA,CERETÉ,1
286,269,241,267,8.8525,-75.75722222,5/3/2013,Manual,60000,SI,0.8,0.2,Maiz,Blanco,2,N/A,N/A,DK 234,5,Algodón,SI,5/9/2013,60000,6/20/2013,9/14/2013,Manual,5500,Grano seco,DONDE PINTO,NULL,NULL,NULL,Insecticidas,Hibrido,,NULL,NULL,5500,20,NO,,CÓRDOBA,CERETÉ,1
287,270,242,268,8.848888889,-75.76472222,5/26/2013,Mecanizado,60000,NO,0.8,0.2,Maiz,Amarillo,1,N/A,N/A,PIONEER 30F35,5,Frijol,SI,5/31/2013,60000,7/26/2013,10/5/2013,Manual,4500,Grano seco,VILLA CELIA,NULL,NULL,NULL,NULL,Hibrido,,NULL,NULL,4500,19,NO,,CÓRDOBA,CERETÉ,1
288,271,243,269,8.849722222,-75.76666667,5/1/2013,Mecanizado,60000,SI,0.8,0.2,Maiz,Blanco,1,N/A,N/A,Otro,5,Algodón,SI,5/7/2013,60000,7/2/2013,9/12/2013,Manual,6200,Grano seco,VILLA NORIS,NULL,NULL,NULL,Insecticidas,Hibrido,SV 8726,NULL,NULL,6200,18,NO,,CÓRDOBA,CERETÉ,1
289,272,245,271,8.849444444,-75.76611111,5/1/2013,Manual,60000,NO,0.8,0.2,Maiz,Amarillo,2,N/A,N/A,Otro,5,Algodón,SI,5/6/2013,60000,6/18/2013,9/11/2013,Manual,5300,Grano seco,LA GRANJA,NULL,NULL,NULL,NULL,Hibrido,SV-1035,NULL,NULL,5300,18,NO,,CÓRDOBA,CERETÉ,1
290,273,246,272,8.867222222,-75.77,5/10/2013,Manual,60000,SI,0.8,0.2,Maiz,Blanco,2,N/A,N/A,FNC 3056,5,Algodón,SI,5/15/2013,58000,7/12/2013,9/21/2013,Manual,4500,Grano seco,BABILLERA,NULL,NULL,NULL,Fungicida+Insecticida,Hibrido,,NULL,NULL,4500,20,NO,,CÓRDOBA,CERETÉ,1
291,274,247,273,8.876388889,-75.76388889,5/20/2013,Manual,60000,NO,0.8,0.2,Maiz,Blanco,NULL,N/A,N/A,PIONEER 30F32,5,Maiz,SI,5/25/2013,60000,7/23/2013,9/30/2013,Mecanizada,6000,Grano seco,VILLA OLIVIA,NULL,NULL,NULL,NULL,Hibrido,,NULL,NULL,6000,17,NO,,CÓRDOBA,CERETÉ,1
292,275,248,274,8.866388889,-75.76972222,4/30/2013,Mecanizado,60000,NO,NULL,NULL,Maiz,Blanco,NULL,N/A,N/A,DK 234,5000,Algodón,SI,5/8/2013,60000,7/10/2013,NULL,NULL,NULL,NULL,VILLA SION,NULL,NULL,NULL,NULL,Hibrido,,,NULL,NULL,NULL,NO,NULL,CÓRDOBA,CERETÉ,1
293,276,249,275,8.880833333,-75.76416667,5/20/2013,Mecanizado,60000,NO,0.8,0.2,Maiz,Blanco,1,N/A,N/A,Otro,5,Maiz,SI,5/24/2013,60000,7/23/2013,9/24/2013,Manual,5300,Grano seco,EL PORVERNIR,NULL,NULL,NULL,NULL,Hibrido,ALLTECH,NULL,NULL,5300,21,NO,,CÓRDOBA,CERETÉ,1
294,277,250,276,8.850277778,-75.76666667,5/13/2013,Manual,60000,NO,0.8,0.2,Maiz,Amarillo,2,N/A,N/A,Otro,5,Algodón,SI,5/18/2013,60000,7/25/2013,9/17/2013,Manual,5800,Grano seco,VALLAN VIENDO,NULL,NULL,NULL,NULL,Hibrido,SYNCO,NULL,NULL,5800,19,NO,,CÓRDOBA,CERETÉ,1
295,278,244,277,8.849722222,-75.76666667,5/15/2013,Manual,60000,NO,0.8,0.2,Maiz,Amarillo,2,N/A,N/A,PIONEER 30F35,5,Yuca,SI,5/21/2013,60000,7/25/2013,10/3/2013,Manual,5500,Grano seco,NO HAY COMO DIOS,NULL,NULL,NULL,NULL,Hibrido,,NULL,NULL,5500,21,NO,,CÓRDOBA,CERETÉ,1
536,470,455,504,8.935277778,-75.76111111,9/26/2013,Mecanizado,65000,NO,0.8,0.2,Maiz,Amarillo,1,N/A,N/A,Otro,5,Maiz,SI,10/1/2013,60000,11/17/2013,2/3/2014,Manual,4000,Grano seco,MIRAFLORES  1,NULL,NULL,NULL,NULL,Hibrido,FNC - 8134,NULL,NULL,4000,20,NO,,CÓRDOBA,CERETÉ,1
537,471,456,505,8.937416667,-75.75902778,10/1/2013,Mecanizado,75000,NO,0.8,0.2,Maiz,Amarillo,1,N/A,N/A,FNC 114,5,Maiz,NO,10/6/2013,68000,11/23/2013,2/3/2014,Manual,4000,Grano seco,LA ESPERANZA,NULL,NULL,NULL,NULL,Hibrido,,NULL,NULL,4000,19,NO,,CÓRDOBA,CERETÉ,1
539,469,454,503,8.935555556,-75.76194444,10/1/2013,Mecanizado,65000,SI,0.8,0.2,Maiz,Amarillo,1,N/A,N/A,FNC 114,5,Maiz,SI,10/6/2013,60000,11/25/2013,2/3/2014,Manual,4000,Grano seco,MIRAFLORES  2,NULL,NULL,NULL,Fungicidas,Hibrido,,NULL,NULL,4000,19,NO,,CÓRDOBA,CERETÉ,2.5
540,475,461,509,8.953638889,-75.78311111,9/22/2013,Manual,65000,SI,0.8,0.2,Maiz,Amarillo,2,N/A,N/A,PIONEER 30F35 H,5,Maiz,SI,9/28/2013,63000,11/14/2013,2/10/2014,Manual,4000,Grano seco,EL PORVENIR,NULL,NULL,NULL,Insecticidas,Hibrido,,NULL,NULL,8000,14,NO,,CÓRDOBA,SAN PELAYO,2
541,476,462,510,8.880416667,-75.76463889,4/1/2014,Mecanizado,60000,NO,0.8,0.2,Maiz,Amarillo,1,N/A,N/A,Otro,5,Maiz,SI,9/15/2013,58000,11/1/2013,2/20/2014,Manual,4500,Mazorca (fresca),VILLA LOURDES,NULL,NULL,NULL,NULL,Hibrido,FNC-8134,NULL,NULL,9000,NULL,NO,,CÓRDOBA,CERETÉ,2
542,477,463,511,8.90525,-75.69044444,4/1/2014,Mecanizado,80000,NO,0.8,0.2,Maiz,Amarillo,1,N/A,N/A,Otro,3.5,Maiz,SI,10/14/2013,75000,11/28/2013,2/21/2014,Manual,2500,Mazorca (fresca),LOS COCOS  COCO  1,NULL,NULL,NULL,NULL,Hibrido,SV-1035,NULL,NULL,2500,NULL,NO,,CÓRDOBA,CIÉNAGA DE ORO,1
543,478,464,512,8.899361111,-75.67894444,8/25/2013,Mecanizado,75000,NO,0.8,0.2,Maiz,Amarillo,1,N/A,N/A,Otro,3,Maiz,SI,8/30/2013,68000,11/17/2013,1/15/2014,Manual,2500,Grano seco,ROMERO C  1,NULL,NULL,NULL,NULL,Hibrido,SV-1035,NULL,NULL,5000,18,NO,,CÓRDOBA,CIÉNAGA DE ORO,2
