ID_EVENTO,ID_LOTE,TIPO_SIEMBRA,SEM_TRATADAS,MATERIAL_GENETICO,CULT_ANT,DRENAJE,METODO_COSECHA,ALMACENAMIENTO_FINCA,AREA,RDT_AJUSTADO,DIAS_EN_EMERGER,DIAS_EN_EMERGER_A_FLORECER,DIAS_EN_FLORECER_A_COSECHAR,POBLACION_20DIAS_AJT,ALTURA_LOT,ContEnfQui_Antes_Siem,ContEnfQui_Siem_Eme,ContEnfQui_Emer_Flor,ContEnfQui_Flor_Cose,ContMalMec_Antes_Siem,ContMalMec_Siem_Emer,ContMalMec_Emer_Flor,ContMalMec_Flor_Cose,ContMalQui_Antes_Siem,ContMalQui_Siem_Emer,ContMalQui_Emer_Flor,ContMalQui_Flor_Cose,ContPlaQui_Antes_Siem,ContPlaQui_Siem_Emer,ContPlaQui_Emer_Flor,ContPlaQui_Flor_Cose,TotN_Antes_Siem,TotN_Siem_Emer,TotN_Emer_Flor,TotP_Antes_Siem,TotP_Siem_Emer,TotP_Emer_Flor,TotK_Antes_Siem,TotK_Siem_Emer,TotK_Emer_Flor,FerOrg_Antes_Siem,FerOrg_Siem_Emer,FerOrg_Emer_Flor,FerQui_Antes_Siem,FerQui_Siem_Emer,FerQui_Emer_Flor,PENDIENTE_RASTA,TERRENO_CIRCUN_RASTA,POSICION_PERFIL_RASTA,NO_CAPAS_RASTA,PH_RASTA,PEDREG_PERFIL_ROCAS,CAP_ENDURE_RASTA,PROFUND_CAP_ENDURE_RASTA,ESPESOR_CAP_ENDURE_RASTA,MOTEADOS_RASTA,PROFUND_MOTEADOS_RASTA,MOTEADOS_MAS70cm._RASTA,ESTRUCTURA_RASTA,OBSERVA_EROSION_RASTA,OBSERVA_MOHO_RASTA,OBSERVA_COSTRAS_DURAS_RASTA,SITIO_EXPUESTO_SOL_RASTA,OBSERVA_COSTRAS_BLANCAS_RASTA,OBSERVA_COSTAS_NEGRAS_RASTA,REGION_SECA_ARIDA_RASTA,OBSERVA_RAICES_VIVAS_RASTA,PROFUND_RAICES_VIVAS_RASTA,OBSERVA_PLANTAS_PEQUENAS_RASTA,OBSERVA_HOJARASCA_MO_RASTA,SUELO_NEGRO_BLANDO_RASTA,CUCHILLO_PRIMER_HTE_RASTA,CERCA_RIOS_QUEBRADAS_RASTA,RECUBRIMIENTO_VEGETAL__SUELO_RASTA,prof_efectiva,d.interno,drenaje_externo,porc_A,porc_Ar,porc_ArA,porc_ArL,porc_FrL,porc_L,porc_F,porc_ArF,porc_FAr,porc_FA,porc_AF,porc_BLANDO,porc_DURO,porc_EXT_DURO,porc_FRIABLE,porc_FIRME,porc_EXT_FIRME,porc_PLASTICO,porc_MUY_PLASTICO
53,40,Mecanizado,NO,PIONEER 30F32,Algodón,SI,Manual,NO,1.0,4767.44186,5.0,63.0,68.0,60000,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0,0.0,46.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,1,2.0,PLANO O LLANO,PLANO,3.0,7.0,SIN ROCAS,NO,-1.0,-1.0,SI,-1.0,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,NO,-1.0,PLANTAS NORMALES,NO,NO,SI,NO,MUY BUENO,31.0,LENTO A MUY LENTO,NINGUNO,0.0,0.0,0.0,0.0,11.11,0.0,0.0,0.0,27.16,61.73,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,43,Mecanizado,SI,DK 234,Maiz,SI,Manual,NO,1.0,4651.162791,5.0,64.0,63.0,60000,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0,0.0,92.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,2,1.0,PLANO O LLANO,PLANO,3.0,7.0,SIN ROCAS,SI,20.0,2.0,SI,30.0,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,NO,-1.0,PLANTAS NORMALES,SI,NO,SI,NO,BUENO,20.0,LENTO A MUY LENTO,NINGUNO,0.0,0.0,0.0,51.43,0.0,0.0,0.0,0.0,48.57,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,44,Mecanizado,NO,PIONEER 30F32,Algodón,SI,Manual,NO,1.0,5180.232558,5.0,59.0,66.0,60000,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,46.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,1,1.0,PLANO O LLANO,PLANO,3.0,7.0,SIN ROCAS,SI,18.0,2.0,SI,14.0,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,30.0,PLANTAS NORMALES,SI,NO,SI,NO,BUENO,30.0,LENTO A MUY LENTO,NINGUNO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.28,0.0,48.72,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,45,Mecanizado,NO,Otro,Algodón,SI,Manual,NO,1.0,4897.674419,5.0,64.0,59.0,60000,12,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.0,0.0,46.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,1,2.0,PLANO O LLANO,PLANO,3.0,6.0,SIN ROCAS,SI,22.0,1.5,SI,11.0,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,NO,-1.0,PLANTAS NORMALES,SI,NO,NO,NO,BUENO,11.0,LENTO A MUY LENTO,NINGUNO,0.0,0.0,0.0,0.0,80.95,0.0,0.0,0.0,19.05,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
273,46,Mecanizado,NO,Otro,Algodón,SI,Manual,NO,1.0,5302.325581,5.0,63.0,60.0,60000,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0,0.0,46.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,1,2.0,PLANO O LLANO,PLANO,3.0,7.0,SIN ROCAS,SI,19.0,1.7,SI,6.0,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,NO,-1.0,PLANTAS NORMALES,SI,NO,NO,NO,BUENO,6.0,LENTO A MUY LENTO,NINGUNO,0.0,0.0,0.0,0.0,54.65,0.0,0.0,0.0,45.349999999999994,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
282,47,Mecanizado,SI,DK 234,Maiz,SI,Manual,NO,1.0,4958.139535,6.0,72.0,55.0,60000,19,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0.0,0.0,92.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,2,2.0,PLANO O LLANO,PLANO,3.0,5.0,SIN ROCAS,SI,20.0,1.5,SI,20.0,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,SI,27.0,PLANTAS NORMALES,SI,NO,NO,NO,BUENO,27.0,LENTO A MUY LENTO,NINGUNO,0.0,0.0,0.0,0.0,44.44,0.0,0.0,0.0,55.56,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
283,51,Manual,SI,Otro,Maiz,SI,Manual,NO,1.0,4426.744186,5.0,47.0,86.0,60000,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0,0.0,46.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,1,2.0,PLANO O LLANO,PLANO,3.0,7.0,SIN ROCAS,SI,33.0,1.5,SI,37.0,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,NO,-1.0,PLANTAS NORMALES,SI,NO,NO,NO,BUENO,33.0,LENTO A MUY LENTO,NINGUNO,0.0,37.04,40.74,0.0,0.0,0.0,0.0,0.0,22.22,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
284,268,Manual,SI,PIONEER 30F32,Algodón,SI,Manual,NO,1.0,5790.697674,5.0,42.0,89.0,60000,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0,0.0,92.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,2,2.0,PLANO O LLANO,PLANO,3.0,6.0,SIN ROCAS,SI,11.0,1.5,SI,55.0,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,NO,-1.0,PLANTAS NORMALES,SI,NO,NO,NO,MUY BUENO,11.0,BUENO,NINGUNO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
286,269,Manual,SI,DK 234,Algodón,SI,Manual,NO,1.0,5116.27907,6.0,42.0,86.0,60000,9,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.0,0.0,92.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,2,2.0,PLANO O LLANO,PLANO,3.0,6.0,SIN ROCAS,SI,15.0,1.0,SI,50.0,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,NO,-1.0,PLANTAS NORMALES,SI,NO,SI,NO,MUY BUENO,15.0,LENTO A MUY LENTO,NINGUNO,0.0,0.0,0.0,0.0,0.0,21.05,0.0,0.0,26.32,52.63,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
287,270,Mecanizado,NO,PIONEER 30F35,Frijol,SI,Manual,NO,1.0,4238.372093,5.0,56.0,71.0,60000,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0,0.0,46.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,1,2.0,PLANO O LLANO,PLANO,3.0,5.0,SIN ROCAS,SI,17.0,1.5,SI,15.0,NO,GRANULAR,NO,NO,NO HAY,LA MANANA Y LA TARDE,NO HAY,NO HAY,NO,NO,-1.0,PLANTAS NORMALES,SI,NO,NO,NO,BUENO,15.0,LENTO A MUY LENTO,NINGUNO,0.0,0.0,0.0,0.0,0.0,58.11,0.0,0.0,41.89,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
