ID_EVENTO,ID_LOTE,ID_FINCA,ID_PROD,FECHA_SIEMBRA,LAT_LOTE,LONG_LOTE,FECHA_EMERGENCIA,FECHA_FLORACION,FECHA_COSECHA,DEPARTAMENTO,MUNICIPIO,PROD_COSECHADO,RDT_AJUSTADO
53,40,42,13,2013-05-13,8.877222222,-75.76444444,2013-05-18,2013-07-20,2013-09-26,CORDOBA,CERETE,Grano seco,4767.441860465116
54,43,43,14,2013-05-02,8.879166667,-75.76555556,2013-05-07,2013-07-10,2013-09-11,CORDOBA,CERETE,Grano seco,4651.162790697675
56,44,44,15,2013-05-12,8.88,-75.76583333,2013-05-17,2013-07-15,2013-09-19,CORDOBA,CERETE,Grano seco,5180.232558139535
57,45,45,16,2013-05-07,8.878611111,-75.75888889,2013-05-12,2013-07-15,2013-09-12,CORDOBA,CERETE,Grano seco,4897.674418604651
273,46,46,17,2013-05-07,8.876388889,-75.75916667,2013-05-12,2013-07-14,2013-09-12,CORDOBA,CERETE,Grano seco,5302.325581395349
282,47,47,18,2013-05-08,8.8475,-75.76666667,2013-05-14,2013-07-25,2013-09-18,CORDOBA,CERETE,Grano seco,4958.139534883721
283,51,50,22,2013-05-02,8.847777778,-75.7675,2013-05-07,2013-06-23,2013-09-17,CORDOBA,CERETE,Grano seco,4426.7441860465115
284,268,240,266,2013-05-09,8.853055556,-75.75777778,2013-05-14,2013-06-25,2013-09-22,CORDOBA,CERETE,Grano seco,5790.697674418605
286,269,241,267,2013-05-03,8.8525,-75.75722222,2013-05-09,2013-06-20,2013-09-14,CORDOBA,CERETE,Grano seco,5116.279069767442
287,270,242,268,2013-05-26,8.848888889,-75.76472222,2013-05-31,2013-07-26,2013-10-05,CORDOBA,CERETE,Grano seco,4238.372093023256
288,271,243,269,2013-05-01,8.849722222,-75.76666667,2013-05-07,2013-07-02,2013-09-12,CORDOBA,CERETE,Grano seco,5911.627906976744
289,272,245,271,2013-05-01,8.849444444,-75.76611111,2013-05-06,2013-06-18,2013-09-11,CORDOBA,CERETE,Grano seco,5053.488372093024
290,273,246,272,2013-05-10,8.867222222,-75.77,2013-05-15,2013-07-12,2013-09-21,CORDOBA,CERETE,Grano seco,4186.0465116279065
291,274,247,273,2013-05-20,8.876388889,-75.76388889,2013-05-25,2013-07-23,2013-09-30,CORDOBA,CERETE,Grano seco,5790.697674418605
293,276,249,275,2013-05-20,8.880833333,-75.76416667,2013-05-24,2013-07-23,2013-09-24,CORDOBA,CERETE,Grano seco,4868.60465116279
294,277,250,276,2013-05-13,8.850277778,-75.76666667,2013-05-18,2013-07-25,2013-09-17,CORDOBA,CERETE,Grano seco,5462.790697674419
295,278,244,277,2013-05-15,8.849722222,-75.76666667,2013-05-21,2013-07-25,2013-10-03,CORDOBA,CERETE,Grano seco,5052.325581395348
536,470,455,504,2013-09-26,8.935277778,-75.76111111,2013-10-01,2013-11-17,2014-02-03,CORDOBA,CERETE,Grano seco,3720.9302325581393
537,471,456,505,2013-10-01,8.937416667,-75.75902778,2013-10-06,2013-11-23,2014-02-03,CORDOBA,CERETE,Grano seco,3767.4418604651164
