ID_EVENTO,ID_LOTE,FECHA_SIEMBRA,FECHA_EMERGENCIA,FECHA_COSECHA,FECHA_FLORACION
53,40,2013-05-13,2013-05-18,2013-09-26,2013-07-20
54,43,2013-05-02,2013-05-07,2013-09-11,2013-07-10
56,44,2013-05-12,2013-05-17,2013-09-19,2013-07-15
57,45,2013-05-07,2013-05-12,2013-09-12,2013-07-15
273,46,2013-05-07,2013-05-12,2013-09-12,2013-07-14
282,47,2013-05-08,2013-05-14,2013-09-18,2013-07-25
283,51,2013-05-02,2013-05-07,2013-09-17,2013-06-23
284,268,2013-05-09,2013-05-14,2013-09-22,2013-06-25
286,269,2013-05-03,2013-05-09,2013-09-14,2013-06-20
287,270,2013-05-26,2013-05-31,2013-10-05,2013-07-26
288,271,2013-05-01,2013-05-07,2013-09-12,2013-07-02
289,272,2013-05-01,2013-05-06,2013-09-11,2013-06-18
290,273,2013-05-10,2013-05-15,2013-09-21,2013-07-12
291,274,2013-05-20,2013-05-25,2013-09-30,2013-07-23
293,276,2013-05-20,2013-05-24,2013-09-24,2013-07-23
294,277,2013-05-13,2013-05-18,2013-09-17,2013-07-25
295,278,2013-05-15,2013-05-21,2013-10-03,2013-07-25
536,470,2013-09-26,2013-10-01,2014-02-03,2013-11-17
537,471,2013-10-01,2013-10-06,2014-02-03,2013-11-23
539,469,2013-10-01,2013-10-06,2014-02-03,2013-11-25
540,475,2013-09-22,2013-09-28,2014-02-10,2013-11-14
543,478,2013-08-25,2013-08-30,2014-01-15,2013-11-17
548,479,2013-10-01,2013-10-07,2014-01-30,2013-11-21
549,480,2013-08-25,2013-08-30,2014-01-15,2013-10-15
559,484,2013-10-06,2013-10-11,2014-02-10,2013-11-23
560,485,2013-09-14,2013-09-19,2014-01-10,2013-10-31
617,514,2013-10-07,2013-10-12,2014-02-10,2013-11-24
618,515,2013-10-09,2013-10-14,2014-03-10,2013-11-28
766,651,2014-05-10,2014-05-15,2014-09-09,2014-06-28
769,654,2014-05-06,2014-05-10,2014-09-10,2014-06-23
779,665,2014-05-28,2014-06-05,2014-09-25,2014-07-09
780,666,2014-05-08,2014-05-15,2014-09-12,2014-06-25
781,667,2014-05-20,2014-05-26,2014-09-25,2014-07-08
783,669,2014-05-05,2014-05-11,2014-09-07,2014-06-22
784,670,2014-05-13,2014-05-19,2014-09-17,2014-06-28
785,671,2014-05-26,2014-06-02,2014-10-03,2014-07-10
786,672,2013-08-27,2013-09-03,2014-02-02,2013-10-12
787,653,2014-05-10,2014-05-16,2014-09-15,2014-06-27
788,668,2014-05-17,2014-05-23,2014-09-20,2014-06-30
789,673,2013-11-15,2013-11-20,2014-03-31,2014-01-03
791,674,2013-11-02,2013-11-08,2014-03-13,2013-12-20
797,676,2013-09-17,2013-09-23,2014-01-15,2013-11-05
804,680,2013-09-29,2013-10-05,2014-01-20,2013-11-18
805,681,2013-07-19,2013-07-26,2013-12-20,2013-09-06
806,682,2013-09-13,2013-09-19,2014-01-14,2013-10-31
807,683,2014-05-09,2014-05-13,2014-09-02,2014-06-24
813,689,2014-05-07,2014-05-13,2014-09-12,2014-06-22
814,690,2014-05-19,2014-05-23,2014-09-20,2014-07-05
816,692,2014-03-26,2014-04-03,2014-07-31,2014-05-12
817,693,2014-05-06,2014-05-14,2014-09-18,2014-06-24
818,694,2014-05-10,2014-05-17,2014-09-12,2014-06-26
820,696,2014-05-20,2014-05-27,2014-09-22,2014-07-07
821,697,2014-05-08,2014-05-13,2014-09-12,2014-06-23
823,699,2014-05-05,2014-05-11,2014-09-02,2014-06-25
824,700,2014-05-10,2014-05-18,2014-09-25,2014-06-27
825,701,2014-05-20,2014-05-27,2014-09-25,2014-07-05
826,702,2014-05-12,2014-05-18,2014-09-15,2014-06-30
827,703,2014-05-01,2014-05-07,2014-09-28,2014-06-20
828,704,2014-05-10,2014-05-15,2014-09-18,2014-06-27
829,705,2014-05-04,2014-05-10,2014-09-18,2014-06-24
830,706,2014-05-05,2014-05-11,2014-09-12,2014-06-24
834,710,2014-05-12,2014-05-18,2014-09-23,2014-07-04
835,711,2014-05-15,2014-05-20,2014-09-29,2014-07-05
836,712,2014-05-10,2014-05-15,2014-09-20,2014-06-29
838,714,2014-05-10,2014-05-17,2014-09-08,2014-06-29
839,715,2013-04-30,2013-05-06,2013-09-05,2013-06-17
840,716,2014-05-23,2014-05-30,2014-10-07,2014-07-12
841,717,2013-05-01,2013-05-13,2013-09-17,2013-06-23
1770,1547,2014-08-28,2014-09-01,2015-01-20,2014-10-12
1771,1548,2014-08-29,2014-09-03,2015-01-29,2014-10-17
1772,1549,2014-10-01,2014-10-08,2015-02-06,2014-11-14
1773,1550,2014-09-19,2014-09-23,2015-01-30,2014-11-15
1778,1555,2014-08-10,2014-08-16,2014-12-23,2014-09-27
1799,1575,2014-08-27,2014-09-02,2015-01-05,2014-10-14
1800,1576,2014-09-08,2014-09-15,2015-01-28,2014-10-22
2007,1789,2015-05-08,2015-05-17,2015-09-28,2015-07-03
2008,1790,2015-05-15,2015-05-19,2015-09-17,2015-07-07
2010,1792,2015-05-27,2015-06-01,2015-10-04,2015-07-18
2011,1793,2015-05-27,2015-06-01,2015-09-28,2015-07-18
2012,1794,2015-05-25,2015-05-28,2015-10-01,2015-07-16
2013,1796,2015-05-23,2015-05-27,2015-09-28,2015-07-15
2014,1797,2015-05-24,2015-05-28,2015-09-22,2015-07-14
2015,1798,2015-05-27,2015-06-01,2015-10-07,2015-07-18
2016,1799,2015-05-28,2015-06-02,2015-10-07,2015-07-17
2017,1800,2015-05-18,2015-05-19,2015-09-21,2015-07-08
2018,1801,2015-05-25,2015-05-29,2015-09-29,2015-07-15
2020,1803,2015-05-17,2015-05-23,2015-09-19,2015-07-15
2021,1804,2015-05-20,2015-05-25,2015-09-18,2015-07-17
2022,1805,2015-05-26,2015-05-31,2015-09-28,2015-07-14
2029,1812,2015-05-20,2015-05-24,2015-09-15,2015-07-10
2030,1814,2015-05-30,2015-06-05,2015-10-05,2015-07-14
2031,1815,2015-05-26,2015-05-31,2015-09-29,2015-07-17
2032,1816,2015-05-21,2015-05-26,2015-09-24,2015-07-10
2035,1820,2015-05-26,2015-05-29,2015-10-10,2015-07-14
2038,1822,2015-05-20,2015-05-25,2015-10-08,2015-07-10
2039,1823,2015-05-27,2015-06-01,2015-10-05,2015-07-20
2040,1824,2015-05-31,2015-06-04,2015-09-29,2015-07-24
2041,1825,2015-05-28,2015-06-01,2015-09-30,2015-07-18
2042,1826,2015-05-03,2015-05-08,2015-08-25,2015-06-25
2043,1827,2015-05-18,2015-05-22,2015-09-18,2015-07-10
2044,1828,2015-05-15,2015-05-20,2015-09-21,2015-07-07
2045,1829,2015-05-15,2015-05-20,2015-09-20,2015-07-06
2047,1833,2015-05-20,2015-05-24,2015-09-28,2015-07-12
2048,1830,2015-05-28,2015-05-31,2015-10-02,2015-07-12
2050,1871,2015-05-16,2015-05-21,2015-09-20,2015-07-05
2051,1818,2015-05-26,2015-05-31,2015-09-27,2015-07-17
