ID_EVENTO,ID_LOTE,TIPO_SIEMBRA,SEM_TRATADAS,MATERIAL_GENETICO,CULT_ANT,DRENAJE,METODO_COSECHA,ALMACENAMIENTO_FINCA,AREA,RDT_AJUSTADO,DIAS_EN_EMERGER,DIAS_EN_EMERGER_A_FLORECER,DIAS_EN_FLORECER_A_COSECHAR,POBLACION_20DIAS_AJT,ALTURA_LOT,ContEnfQui_Antes_Siem,ContEnfQui_Siem_Eme,ContEnfQui_Emer_Flor,ContEnfQui_Flor_Cose,ContMalMec_Antes_Siem,ContMalMec_Siem_Emer,ContMalMec_Emer_Flor,ContMalMec_Flor_Cose,ContMalQui_Antes_Siem,ContMalQui_Siem_Emer,ContMalQui_Emer_Flor,ContMalQui_Flor_Cose,ContPlaQui_Antes_Siem,ContPlaQui_Siem_Emer,ContPlaQui_Emer_Flor,ContPlaQui_Flor_Cose,TotN_Antes_Siem,TotN_Siem_Emer,TotN_Emer_Flor,TotP_Antes_Siem,TotP_Siem_Emer,TotP_Emer_Flor,TotK_Antes_Siem,TotK_Siem_Emer,TotK_Emer_Flor,FerOrg_Antes_Siem,FerOrg_Siem_Emer,FerOrg_Emer_Flor,FerQui_Antes_Siem,FerQui_Siem_Emer,FerQui_Emer_Flor
53,40,Mecanizado,NO,PIONEER 30F32,Algodón,SI,Manual,NO,1,4767.44186,5,63,68,60000,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,1
54,43,Mecanizado,SI,DK 234,Maiz,SI,Manual,NO,1,4651.162791,5,64,63,60000,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,2
56,44,Mecanizado,NO,PIONEER 30F32,Algodón,SI,Manual,NO,1,5180.232558,5,59,66,60000,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,1
57,45,Mecanizado,NO,Otro,Algodón,SI,Manual,NO,1,4897.674419,5,64,59,60000,12,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,1
273,46,Mecanizado,NO,Otro,Algodón,SI,Manual,NO,1,5302.325581,5,63,60,60000,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,1
282,47,Mecanizado,SI,DK 234,Maiz,SI,Manual,NO,1,4958.139535,6,72,55,60000,19,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,2
283,51,Manual,SI,Otro,Maiz,SI,Manual,NO,1,4426.744186,5,47,86,60000,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,1
284,268,Manual,SI,PIONEER 30F32,Algodón,SI,Manual,NO,1,5790.697674,5,42,89,60000,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,2
286,269,Manual,SI,DK 234,Algodón,SI,Manual,NO,1,5116.27907,6,42,86,60000,9,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,2
287,270,Mecanizado,NO,PIONEER 30F35,Frijol,SI,Manual,NO,1,4238.372093,5,56,71,60000,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,1
288,271,Mecanizado,SI,Otro,Algodón,SI,Manual,NO,1,5911.627907,6,56,72,60000,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,69,0,0,0,0,0,30,0,0,0,0,0,3
289,272,Manual,NO,Otro,Algodón,SI,Manual,NO,1,5053.488372,5,43,85,60000,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,2
290,273,Manual,SI,FNC 3056,Algodón,SI,Manual,NO,1,4186.046512,5,58,71,58000,14,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,2
291,274,Manual,NO,PIONEER 30F32,Maiz,SI,Mecanizada,NO,1,5790.697674,5,59,69,60000,16,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,46,46,0,0,0,0,30,0,0,0,0,0,2,1
293,276,Mecanizado,NO,Otro,Maiz,SI,Manual,NO,1,4868.604651,4,60,63,60000,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,1
294,277,Manual,NO,Otro,Algodón,SI,Manual,NO,1,5462.790698,5,68,54,60000,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,1
