ID_EVENTO,ID_PROD,APLICA_RIEGO,FECHA_RIEGO,CANTIDAD_APORTADA,FORMA_APLICACION
16,34,NO,0000-00-00,NULL,NULL
16,34,NO,0000-00-00,NULL,NULL
16,34,NO,0000-00-00,NULL,NULL
16,34,NO,0000-00-00,NULL,NULL
21,38,SI,2/17/2013,25,Aspersion
23,39,SI,3/8/2013,20,Gravedad
23,39,SI,4/4/2013,20,Aspersion
24,40,SI,2/8/2013,25,Aspersion
25,41,SI,3/1/2013,25,Aspersion
26,42,SI,2/25/2013,25,Aspersion
27,43,SI,3/16/2013,25,Aspersion
28,45,SI,3/1/2013,25,Aspersion
31,47,NO,0000-00-00,NULL,NULL
32,48,SI,4/30/2013,20,Aspersion
32,48,SI,6/29/2013,30,Aspersion
40,50,SI,3/14/2013,14,Aspersion
41,51,SI,2/7/2013,20,Aspersion
43,52,SI,4/17/2013,20,Aspersion
43,52,SI,5/5/2013,20,Aspersion
43,52,SI,6/3/2013,20,Aspersion
44,54,SI,4/26/2013,19,Aspersion
44,54,SI,5/25/2013,20,Aspersion
46,55,SI,3/27/2013,20,Aspersion
62,75,NO,0000-00-00,NULL,NULL
143,156,NO,0000-00-00,NULL,NULL
268,91,NO,0000-00-00,NULL,NULL
277,185,NO,0000-00-00,NULL,NULL
278,87,NO,0000-00-00,NULL,NULL
280,88,NO,0000-00-00,NULL,NULL
281,89,NO,0000-00-00,NULL,NULL
301,33,SI,4/4/2013,15,Aspersion
303,35,SI,3/6/2013,400,Aspersion
393,49,SI,4/27/2013,20,Aspersion
394,37,SI,2/5/2013,20,Aspersion
418,394,NO,0000-00-00,NULL,NULL
427,447,SI,9/9/2013,35,Aspersion
427,447,SI,9/25/2013,40,Aspersion
427,447,SI,10/25/2013,40,Aspersion
433,453,SI,9/3/2013,2,Aspersion
433,453,SI,9/3/2013,30,Aspersion
537,505,NO,0000-00-00,NULL,NULL
543,512,NO,0000-00-00,NULL,NULL
562,532,SI,8/19/2013,25,Aspersion
562,532,SI,8/23/2013,35,Aspersion
562,532,SI,10/18/2013,45,Aspersion
609,533,NO,0000-00-00,NULL,NULL
611,536,NO,0000-00-00,NULL,NULL
616,540,NO,0000-00-00,NULL,NULL
622,449,SI,9/6/2013,30,Aspersion
622,449,SI,10/6/2013,40,Aspersion
622,449,SI,11/2/2013,40,Aspersion
623,454,SI,9/4/2013,35,Aspersion
623,454,SI,10/20/2013,40,Aspersion
623,454,SI,11/2/2013,40,Aspersion
624,452,SI,8/20/2013,35,Aspersion
624,452,SI,8/28/2013,40,Aspersion
625,451,SI,9/9/2013,30,Aspersion
625,451,SI,9/17/2013,40,Aspersion
626,450,SI,8/19/2013,40,Aspersion
626,450,SI,9/26/2013,40,Aspersion
629,549,SI,10/20/2013,40,Aspersion
629,549,SI,10/28/2013,40,Aspersion
629,549,SI,11/15/2013,40,Aspersion
629,549,SI,12/12/2013,40,Aspersion
631,547,SI,8/21/2013,40,Aspersion
633,551,SI,8/17/2013,40,Aspersion
633,551,SI,10/23/2013,40,Aspersion
635,552,SI,8/10/2013,40,Aspersion
635,552,SI,8/18/2013,35,Aspersion
635,552,SI,9/11/2013,40,Aspersion
635,552,SI,10/5/2013,40,Aspersion
635,552,SI,10/21/2013,40,Aspersion
645,554,SI,8/21/2013,40,Aspersion
645,554,SI,9/9/2013,40,Aspersion
645,554,SI,11/2/2013,40,Aspersion
668,598,SI,3/19/2014,300,Gravedad
668,598,SI,4/3/2014,400,Gravedad
668,598,SI,4/18/2014,300,Gravedad
668,598,SI,5/5/2014,400,Gravedad
668,598,SI,5/26/2014,400,Gravedad
668,598,SI,6/16/2014,400,Gravedad
671,604,SI,3/4/2014,300,Gravedad
671,604,SI,3/19/2014,400,Gravedad
671,604,SI,4/3/2014,300,Gravedad
671,604,SI,4/19/2014,400,Gravedad
671,604,SI,5/9/2014,400,Gravedad
671,604,SI,6/3/2014,400,Gravedad
672,606,SI,5/3/2014,300,Gravedad
672,606,SI,5/14/2014,300,Gravedad
672,606,SI,5/26/2014,300,Gravedad
672,606,SI,7/19/2014,300,Aspersion
673,602,SI,4/28/2014,300,Gravedad
673,602,SI,5/9/2014,300,Gravedad
673,602,SI,5/28/2014,300,Gravedad
673,602,SI,6/6/2014,300,Gravedad
673,602,SI,7/9/2014,300,Gravedad
673,602,SI,8/4/2014,300,Gravedad
674,605,SI,4/14/2014,300,Gravedad
674,605,SI,4/25/2014,300,Gravedad
674,605,SI,5/5/2014,300,Gravedad
674,605,SI,5/29/2014,400,Gravedad
674,605,SI,6/30/2014,300,Gravedad
674,605,SI,7/20/2014,400,Gravedad
675,600,SI,4/9/2014,300,Gravedad
675,600,SI,4/22/2014,300,Gravedad
675,600,SI,5/2/2014,300,Gravedad
675,600,SI,5/26/2014,400,Gravedad
675,600,SI,6/17/2014,300,Gravedad
676,607,SI,3/9/2014,300,Gravedad
676,607,SI,3/22/2014,300,Gravedad
676,607,SI,3/31/2014,300,Gravedad
676,607,SI,4/26/2014,300,Gravedad
676,607,SI,5/14/2014,300,Gravedad
676,607,SI,6/15/2014,300,Gravedad
678,603,SI,4/8/2014,300,Gravedad
678,603,SI,4/24/2014,400,Gravedad
678,603,SI,5/9/2014,400,Gravedad
678,603,SI,5/24/2014,400,Gravedad
678,603,SI,6/9/2014,300,Gravedad
678,603,SI,7/7/2014,400,Gravedad
701,599,SI,5/8/2014,300,Gravedad
701,599,SI,5/28/2014,300,Gravedad
701,599,SI,6/23/2014,300,Gravedad
701,599,SI,8/24/2014,400,Gravedad
702,601,SI,3/18/2014,300,Gravedad
702,601,SI,4/7/2014,300,Gravedad
702,601,SI,5/5/2014,300,Gravedad
702,601,SI,6/3/2014,300,Aspersion
702,601,SI,7/21/2014,300,Gravedad
765,727,SI,4/23/2014,300,Gravedad
765,727,SI,5/13/2014,300,Gravedad
765,727,SI,6/2/2014,300,Gravedad
765,727,SI,6/25/2014,300,Gravedad
765,727,SI,7/2/2014,300,Gravedad
765,727,SI,7/16/2014,300,Gravedad
767,730,SI,8/20/2013,400,Aspersion
767,730,SI,8/25/2013,66,Aspersion
771,734,SI,3/3/2014,400,Aspersion
771,734,SI,3/3/2014,200,Aspersion
771,734,SI,4/10/2014,300,Aspersion
772,736,SI,2/3/2014,250,Aspersion
772,736,SI,4/10/2014,300,Aspersion
773,737,SI,3/11/2014,300,Aspersion
773,737,SI,3/20/2014,300,Aspersion
774,738,SI,2/26/2014,300,Aspersion
775,739,SI,3/3/2014,400,Aspersion
775,739,SI,4/10/2014,400,Aspersion
776,740,SI,3/16/2014,300,Aspersion
776,740,SI,4/15/2014,300,Aspersion
776,740,SI,4/27/2014,300,Aspersion
776,740,SI,5/4/2014,300,Aspersion
777,741,SI,2/17/2014,300,Aspersion
777,741,SI,4/10/2014,400,Aspersion
778,742,SI,3/14/2014,150,Aspersion
778,742,SI,3/14/2014,250,Aspersion
778,742,SI,4/9/2014,250,Aspersion
792,757,SI,3/3/2014,300,Aspersion
800,758,SI,2/15/2014,300,Aspersion
800,758,SI,3/3/2014,400,Aspersion
800,758,SI,4/1/2014,400,Aspersion
802,759,SI,8/1/2013,350,Aspersion
802,759,SI,8/12/2013,400,Aspersion
802,759,SI,9/25/2013,400,Aspersion
809,820,SI,8/18/2013,200,Aspersion
809,820,SI,10/10/2013,400,Aspersion
810,821,SI,9/13/2013,400,Aspersion
810,821,SI,10/15/2013,400,Aspersion
837,848,SI,3/12/2014,300,Aspersion
837,848,SI,3/19/2014,300,Aspersion
837,848,SI,4/22/2014,400,Aspersion
854,868,SI,5/13/2014,300,Aspersion
854,868,SI,5/21/2014,300,Aspersion
854,868,SI,5/30/2014,300,Aspersion
854,868,SI,6/6/2014,400,Aspersion
854,868,SI,6/28/2014,400,Aspersion
854,868,SI,7/15/2014,400,Aspersion
855,862,SI,6/9/2014,300,Aspersion
855,862,SI,7/11/2014,300,Aspersion
855,862,SI,7/28/2014,400,Aspersion
855,862,SI,8/18/2014,400,Aspersion
871,870,SI,2/20/2014,200,Aspersion
871,870,SI,3/13/2014,200,Aspersion
871,870,SI,4/24/2014,400,Aspersion
873,873,SI,2/22/2014,300,Aspersion
873,873,SI,2/26/2014,300,Aspersion
873,873,SI,3/22/2014,400,Aspersion
876,874,SI,2/20/2014,300,Aspersion
876,874,SI,2/28/2014,300,Aspersion
876,874,SI,3/20/2014,300,Aspersion
881,875,SI,9/6/2014,300,Aspersion
881,875,SI,9/23/2014,300,Aspersion
883,871,SI,2/19/2014,300,Aspersion
883,871,SI,3/14/2014,300,Aspersion
883,871,SI,4/28/2014,400,Aspersion
884,872,SI,2/20/2014,300,Aspersion
884,872,SI,2/28/2014,300,Aspersion
884,872,SI,3/20/2014,400,Aspersion
885,448,SI,10/13/2013,300,Aspersion
885,448,SI,10/21/2013,300,Aspersion
885,448,SI,11/15/2013,300,Aspersion
886,733,SI,3/3/2014,200,Aspersion
886,733,SI,4/10/2014,400,Aspersion
888,878,SI,3/7/2014,300,Aspersion
888,878,SI,3/14/2014,300,Aspersion
888,878,SI,3/23/2014,400,Aspersion
891,877,SI,3/8/2014,300,Aspersion
891,877,SI,5/10/2014,400,Aspersion
898,754,SI,8/18/2014,200,Gravedad
898,754,SI,8/31/2014,200,Gravedad
898,754,SI,10/1/2014,200,Gravedad
955,156,SI,5/3/2014,60,Aspersion
