ID_EVENTO,ID_PROD,FECHA_MONITOREO,TIPO_PLAGA,INCIDENCIA_PLAGA,TIPO_ENFERMEDAD,INCIDENCIA_ENFERMEDAD,TIPO_MALEZA,INCIDENCIA_MALEZA
16,34,10/4/2013,SI,NULL,SI,NULL,SI,NULL
21,38,2/21/2013,SI,NULL,SI,NULL,SI,NULL
23,39,3/11/2013,SI,NULL,SI,NULL,SI,NULL
24,40,2/26/2013,SI,10,NO,NULL,NO,NULL
26,42,2/27/2013,SI,10,SI,3,SI,20
27,43,3/20/2013,SI,10,NO,NULL,SI,20
28,45,3/3/2013,SI,10,NO,NULL,SI,15
31,47,3/21/2013,SI,10,NO,NULL,SI,10
32,48,4/15/2013,SI,10,SI,2,SI,5
40,50,3/19/2013,NO,NULL,NO,NULL,SI,5
41,51,2/11/2013,SI,15,NO,NULL,SI,10
43,52,10/19/2013,SI,10,NO,NULL,SI,5
44,54,4/25/2013,SI,3,SI,2,SI,5
46,55,4/1/2013,NO,NULL,SI,2,SI,10
53,13,5/18/2013,SI,NULL,SI,NULL,SI,NULL
54,14,7/15/2013,NO,NULL,NO,NULL,SI,27
54,14,5/8/2013,SI,24,NO,NULL,SI,35
54,14,5/17/2013,SI,30,NO,NULL,SI,40
56,15,5/17/2013,SI,45,SI,0,SI,56
57,16,7/10/2013,SI,NULL,SI,NULL,SI,NULL
57,16,5/14/2013,SI,NULL,SI,NULL,SI,NULL
62,75,4/6/2013,SI,NULL,NO,NULL,SI,NULL
143,156,7/10/2013,NO,NULL,SI,NULL,NO,NULL
143,156,5/1/2013,NO,NULL,NO,NULL,SI,NULL
211,234,3/24/2013,NO,NULL,NO,NULL,SI,NULL
216,237,4/20/2013,SI,NULL,NO,NULL,SI,NULL
216,237,5/9/2013,NO,NULL,NO,NULL,SI,NULL
216,237,4/8/2013,SI,NULL,NO,NULL,SI,NULL
216,237,5/23/2013,NO,NULL,SI,NULL,SI,NULL
216,237,5/16/2013,NO,NULL,NO,NULL,SI,NULL
221,242,6/28/2013,NO,NULL,SI,NULL,SI,NULL
221,242,5/20/2013,NO,NULL,NO,NULL,SI,NULL
250,190,4/25/2013,NO,NULL,NO,NULL,SI,NULL
255,184,4/1/2013,SI,NULL,NO,NULL,SI,NULL
256,183,4/5/2013,SI,NULL,NO,NULL,SI,NULL
258,78,5/17/2013,SI,NULL,NO,NULL,SI,NULL
259,180,3/22/2013,NO,NULL,NO,NULL,SI,NULL
259,180,3/8/2013,SI,NULL,NO,NULL,NO,NULL
260,182,5/4/2013,SI,NULL,NO,NULL,SI,NULL
261,93,5/6/2013,NO,NULL,NO,NULL,SI,NULL
262,90,4/20/2013,SI,NULL,NO,NULL,NO,NULL
263,181,4/10/2013,SI,NULL,NO,NULL,SI,NULL
265,157,3/30/2013,SI,NULL,NO,NULL,SI,NULL
266,179,4/20/2013,SI,NULL,NO,NULL,SI,NULL
268,91,4/15/2013,SI,NULL,NO,NULL,SI,NULL
269,92,4/20/2013,SI,NULL,NO,NULL,SI,NULL
272,189,4/15/2013,SI,NULL,NO,NULL,SI,NULL
273,17,5/20/2013,SI,NULL,SI,NULL,SI,NULL
276,94,4/13/2013,SI,NULL,NO,NULL,SI,NULL
276,94,4/13/2013,SI,NULL,NO,NULL,SI,NULL
277,185,4/27/2013,NO,NULL,NO,NULL,SI,NULL
278,87,4/27/2013,SI,NULL,NO,NULL,SI,NULL
280,88,4/19/2013,NO,NULL,NO,NULL,SI,NULL
281,89,4/24/2013,SI,NULL,NO,NULL,SI,NULL
282,18,6/29/2013,SI,28,NO,NULL,SI,35
282,18,5/14/2013,SI,14,NO,NULL,SI,20
283,22,6/5/2013,SI,NULL,SI,NULL,SI,NULL
283,22,5/7/2013,SI,NULL,SI,NULL,SI,NULL
284,266,6/15/2013,SI,NULL,SI,NULL,SI,NULL
284,266,5/14/2013,SI,NULL,SI,NULL,SI,NULL
286,267,6/15/2013,SI,32,NO,NULL,SI,26
286,267,5/29/2013,SI,19,NO,NULL,SI,27
287,268,6/3/2013,SI,NULL,SI,NULL,SI,NULL
288,269,6/28/2013,SI,34,NO,NULL,SI,10
289,271,6/5/2013,SI,NULL,SI,NULL,SI,NULL
289,271,5/10/2013,SI,NULL,SI,NULL,SI,NULL
290,272,6/20/2013,SI,27,NO,NULL,SI,30
290,272,5/15/2013,SI,10,NO,NULL,SI,18
291,273,6/29/2013,SI,NULL,SI,NULL,SI,NULL
291,273,5/25/2013,SI,NULL,SI,NULL,SI,NULL
292,274,6/29/2013,SI,NULL,SI,NULL,SI,NULL
292,274,5/8/2013,SI,NULL,SI,NULL,SI,NULL
293,275,6/22/2013,SI,NULL,SI,NULL,SI,NULL
293,275,5/28/2013,SI,NULL,SI,NULL,SI,NULL
294,276,5/31/2013,SI,25,SI,15,SI,10
294,276,6/20/2013,SI,16,NO,NULL,SI,28
295,277,6/15/2013,SI,40,NO,NULL,SI,35
301,33,4/10/2013,SI,8,SI,2,SI,30
303,35,3/13/2013,SI,8,NO,NULL,SI,25
358,231,3/13/2013,NO,NULL,NO,NULL,SI,NULL
358,231,6/15/2013,NO,NULL,NO,NULL,SI,NULL
359,233,3/19/2013,NO,NULL,NO,NULL,SI,NULL
359,233,3/13/2013,NO,NULL,NO,NULL,SI,NULL
386,356,3/18/2013,NO,NULL,NO,NULL,SI,NULL
393,49,5/3/2013,SI,10,NO,NULL,NO,NULL
394,37,2/10/2013,NO,NULL,SI,2,SI,20
418,394,9/28/2013,NO,NULL,NO,NULL,SI,NULL
427,447,10/10/2013,NO,NULL,NO,NULL,SI,8
427,447,10/22/2013,NO,NULL,SI,8,NO,NULL
427,447,9/17/2013,SI,8,NO,NULL,NO,NULL
433,453,9/10/2013,SI,8,NO,NULL,NO,NULL
433,453,9/6/2013,SI,8,SI,8,SI,8
433,453,10/20/2013,NO,NULL,NO,NULL,SI,8
433,453,10/20/2013,NO,NULL,SI,8,NO,NULL
468,391,10/21/2013,SI,NULL,NO,NULL,SI,NULL
510,388,10/10/2013,SI,NULL,NO,NULL,SI,NULL
