"","ID_EVENTO","ID_PROD","FECHA_FERT","ID_FER_QUI","TIPO_FERTILIZACION","CANTIDAD_PROD_FERTI","PROD_QUI","PROD_ORG","PROD_ENM","N","P","K"
"1",24,40,"2/06/2013",14,"Enmiendas",1000,"","","Cal",NA,NA,NA
"2",615,539,"10/07/2013",624,"Enmiendas",200,"","","Cal",NA,NA,NA
"3",955,156,"3/31/2014",1270,"Enmiendas",20,"","","Escorias",NA,NA,NA
"4",955,156,"3/31/2014",1270,"Enmiendas",40,"","","Yeso",NA,NA,NA
"5",1213,1072,"5/22/2014",1658,"Enmiendas",750,"","","Cal",NA,NA,NA
"6",1214,1073,"5/01/2015",5990,"Enmiendas",1000,"","","Cal Agricola",NA,NA,NA
"7",1920,692,"5/01/2015",5969,"Enmiendas",1000,"","","Cal Dolomita",NA,NA,NA
"8",1922,1748,"4/01/2015",5977,"Enmiendas",850,"","","Cal Dolomita",NA,NA,NA
"9",1923,1749,"5/04/2015",5979,"Enmiendas",250,"","","Cal Dolomita",NA,NA,NA
"10",1924,1069,"6/01/2015",5982,"Enmiendas",1000,"","","Cal Dolomita",NA,NA,NA
"11",1925,1070,"5/04/2015",5985,"Enmiendas",600,"","","Cal Dolomita",NA,NA,NA
"12",1926,1074,"5/18/2015",5988,"Enmiendas",600,"","","Cal Dolomita",NA,NA,NA
"13",1929,633,"4/10/2015",5993,"Enmiendas",800,"","","Cal Agricola",NA,NA,NA
"14",1951,692,"4/03/2015",5971,"Enmiendas",1000,"","","Cal Dolomita",NA,NA,NA
"15",2849,2563,"2/02/2016",6264,"Enmiendas",3,"","","Cal",NA,NA,NA
"16",2849,2563,"3/23/2016",6433,"Enmiendas",43,"","","Cal Dolomita",NA,NA,NA
"17",2870,2592,"11/05/2015",5701,"Enmiendas",50,"","","Cal",NA,NA,NA
"18",2990,2670,"5/15/2015",5998,"Enmiendas",1000,"","","Cal Agricola",NA,NA,NA
"19",3132,2617,"3/10/2016",6277,"Enmiendas",20,"","","Cal",NA,NA,NA
"20",3350,2943,"5/31/2016",7901,"Enmiendas",300,"","","Cal Agricola",NA,NA,NA
"21",3353,3049,"2/22/2016",6750,"Enmiendas",500,"","","Cal Agricola",NA,NA,NA
"22",3383,3386,"12/04/2015",6837,"Enmiendas",1000,"","","Cal Dolomita",NA,NA,NA
"23",3548,2945,"4/07/2016",7236,"Enmiendas",350,"","","Cal Agricola",NA,NA,NA
"24",3620,2981,"2/08/2016",7421,"Enmiendas",1000,"","","Cal Dolomita",NA,NA,NA
"25",3622,3011,"2/15/2016",7427,"Enmiendas",600,"","","Cal Dolomita",NA,NA,NA
"26",3656,2996,"1/16/2016",7494,"Enmiendas",500,"","","Cal Dolomita",NA,NA,NA
"27",4743,4651,"4/07/2016",10507,"Enmiendas",1500,"","","Cal Dolomita",NA,NA,NA
"28",4744,4651,"4/12/2016",10512,"Enmiendas",1500,"","","Cal Dolomita",NA,NA,NA
"29",23,39,"3/06/2013",11,"Organica",1000,"","Estiercol","",NA,NA,NA
"30",24,40,"2/06/2013",13,"Organica",1000,"","Compost","",NA,NA,NA
"31",40,50,"3/13/2013",171,"Organica",100,"","Gallinaza enriquecida","",NA,NA,NA
"32",615,539,"10/14/2013",623,"Organica",3000,"","Gallinaza enriquecida","",NA,NA,NA
"33",807,818,"5/27/2014",1048,"Organica",200,"","Lombri compost","",NA,NA,NA
"34",955,156,"3/31/2014",1270,"Organica",100,"","Lombri compost","",NA,NA,NA
"35",1666,523,"9/20/2013",2516,"Organica",50,"","Compost","",NA,NA,NA
"36",1673,508,"10/14/2013",2554,"Organica",50,"","Compost","",NA,NA,NA
"37",2192,2015,"3/30/2015",4065,"Organica",46,"","Otro","",NA,NA,NA
"38",2194,2014,"4/20/2015",3757,"Organica",50,"","Compost","",NA,NA,NA
"39",2217,2127,"4/05/2015",3805,"Organica",75,"","Compost","",NA,NA,NA
"40",2232,2130,"3/23/2015",4063,"Organica",150,"","Compost","",NA,NA,NA
"41",2232,2130,"4/23/2015",4064,"Organica",120,"","Compost","",NA,NA,NA
"42",2291,2127,"4/05/2015",4049,"Organica",100,"","Compost","",NA,NA,NA
