,ID_LOTE,DivisionCadenas
0,40,"['FAr', 'FrL', 'FA']"
1,43,"['FAr', 'FAr', 'ArL']"
2,44,"['FAr', 'FAr', 'AF']"
3,45,"['FAr', 'FrL', 'FrL']"
4,46,"['FAr', 'FAr', 'FrL']"
5,47,"['FAr', 'FAr', 'FrL']"
6,51,"['FAr', 'ArA', 'Ar']"
7,268,"['FAr', 'FAr', 'FAr']"
8,269,"['FAr', 'FA', 'L']"
9,270,"['FAr', 'FAr', 'L']"
10,271,"['FAr', 'ArA', 'FrL']"
11,272,"['FAr', 'FAr', 'FrL']"
12,273,"['FAr', 'FAr', 'FA']"
13,274,"['FAr', 'Ar', 'FrL']"
14,276,"['FAr', 'FrL']"
15,277,"['FAr', 'FrL']"
16,278,"['FAr', 'FA', 'FrL']"
17,469,"['Ar', 'FrL']"
18,470,"['Ar', 'FrL']"
19,471,"['Ar', 'FrL']"
20,475,"['Ar', 'Ar', 'ArL']"
21,478,"['Ar', 'Ar']"
22,479,"['Ar', 'FrL']"
23,480,['FrL']
24,484,"['Ar', 'Ar']"
25,485,['Ar']
26,514,"['Ar', 'Ar']"
27,515,['Ar']
28,651,"['Ar', 'FrL']"
29,653,"['Ar', 'FrL']"
30,654,['FrL']
31,665,"['Ar', 'FrL']"
32,666,"['Ar', 'ArA']"
33,667,"['Ar', 'ArL']"
34,668,"['FrL', 'FrL']"
35,669,"['FrL', 'FrL']"
36,670,"['Ar', 'FrL']"
37,672,"['Ar', 'Ar']"
38,674,"['L', 'FrL']"
39,676,"['Ar', 'Ar']"
40,680,"['Ar', 'Ar']"
41,681,"['Ar', 'Ar']"
42,682,"['Ar', 'Ar']"
43,683,"['Ar', 'Ar']"
44,689,"['Ar', 'Ar']"
45,690,"['FA', 'FAr']"
46,692,"['Ar', 'Ar']"
47,693,"['Ar', 'Ar']"
48,694,"['L', 'ArL']"
49,696,"['ArL', 'Ar']"
50,697,"['Ar', 'Ar']"
51,699,"['FrL', 'Ar']"
52,700,"['Ar', 'Ar']"
53,701,"['Ar', 'Ar']"
54,702,"['Ar', 'Ar']"
55,703,"['Ar', 'Ar']"
56,704,"['Ar', 'Ar']"
57,705,"['ArL', 'Ar']"
58,706,"['Ar', 'Ar']"
59,710,"['Ar', 'FrL']"
60,711,"['Ar', 'Ar']"
61,712,"['Ar', 'Ar']"
62,714,"['Ar', 'Ar']"
63,716,"['Ar', 'Ar']"
64,717,"['Ar', 'Ar']"
65,1547,"['AF', 'FA']"
66,1548,"['FA', 'FA']"
67,1549,"['FAr', 'Ar']"
68,1550,"['Ar', 'FrL']"
69,1555,"['Ar', 'Ar']"
70,1575,"['Ar', 'Ar']"
71,1576,"['L', 'Ar']"
72,1789,"['L', 'FrL']"
73,1790,"['FAr', 'FrL']"
74,1792,"['FAr', 'FAr', 'FA']"
75,1793,"['FAr', 'FA']"
76,1794,"['FAr', 'F']"
77,1795,"['L', 'FrL']"
78,1796,"['ArL', 'L']"
79,1797,"['L', 'FrL']"
80,1798,"['FAr', 'FA']"
81,1799,"['FAr', 'FA']"
82,1800,"['FA', 'F']"
83,1801,"['FrL', 'ArL', 'ArL']"
84,1803,"['Ar', 'FAr', 'FrL']"
85,1804,"['L', 'L', 'FAr']"
86,1805,"['L', 'FAr', 'FrL', 'FrL']"
87,1812,"['L', 'FrL']"
88,1814,"['ArL', 'L']"
89,1815,"['FAr', 'FAr', 'FAr']"
90,1816,"['FAr', 'FAr']"
91,1818,"['FAr', 'FAr', 'FAr']"
92,1819,"['FAr', 'FAr']"
93,1820,"['FrL', 'L']"
94,1822,"['FAr', 'FrL']"
95,1823,"['L', 'L', 'L']"
96,1824,"['FAr', 'FrL']"
97,1825,"['FAr', 'FAr']"
98,1826,"['FAr', 'ArA']"
99,1827,"['ArL', 'FAr']"
100,1828,"['FAr', 'FAr']"
101,1829,"['F', 'FrL']"
102,1830,"['FAr', 'FrL', 'FAr']"
103,1831,"['FAr', 'ArL']"
104,1833,"['L', 'FrL']"
105,1871,"['FAr', 'FAr']"
106,1872,"['FAr', 'FA']"
107,1879,"['FAr', 'F']"
108,1880,"['FAr', 'FA']"
109,1881,"['FrL', 'L']"
110,1884,"['FAr', 'FAr']"
111,1886,"['FrL', 'F']"
112,1887,"['ArL', 'FrL']"
113,1889,"['FAr', 'F']"
114,1891,"['FAr', 'F']"
115,1894,"['FAr', 'F']"
116,1897,"['FrL', 'F']"
117,1898,"['F', 'FA']"
118,1899,"['FAr', 'F']"
119,1902,"['FAr', 'ArL', 'ArL']"
120,1903,"['ArL', 'Ar']"
121,1904,"['F', 'Ar']"
122,1905,"['FAr', 'FA']"
123,1906,"['FAr', 'FA']"
124,1907,"['FAr', 'FAr']"
125,1908,"['FAr', 'FAr']"
126,1909,"['FAr', 'FA']"
