index,Ganacia
0,9678225.61
1,9215912.01
2,10452945.69
3,10320121.72
4,10206822.73
5,10249966.21
6,8710475.36
7,8583218.44
8,11631164.24
9,10388564.61
10,9771285.84
11,8236208.38
12,10511655.57
13,10608334.54
14,11189321.3
15,10800398
16,10939522.27
17,9857360.49
18,8439769.56
19,10617101.4
20,11851818.56
21,9808268.98
22,14006374.81
23,10051314.44
24,11577512.5
25,13341267.6
26,10465320.24
27,10683983.63
28,11603524.97
29,10692826.13
30,12810292.35
31,10743157.73
32,11253403.22
33,11705059.65
34,12330254.92
35,7092890.73
36,10265807.12
37,12775778.07
38,10837532.93
39,11897837.58
40,9417158.33
41,8709841.99
42,11759554.4
43,10294041.57
44,11891042.94
45,10377044.69
46,10629651.22
47,8207282.28
48,9843148.56
49,11039989.83
50,12054185.96
51,11869845.85
52,12634590.99
53,11016216.43
54,10179144.84
55,9125416.91
56,11479637.74
57,10528020.39
58,14898442.89
59,13988510.84
60,14637323.33
61,14780408.97
62,10462633.11
63,9938009.16
64,10842220.88
65,8788699.35
66,15214762.67
67,12400344.07
68,12234724.48
69,8527918.61
70,9006040.2
71,12869467.95
72,8133330.61
73,9232698.07
74,5736782.76
75,7711812.35
76,5582267.3
77,9815691.75
78,13116525.51
79,13196085.63
80,6244825.89
81,9507063.72
82,16507733.69
83,17274157.69
84,9650647.01
85,11194973.63
86,16738045.59
87,15166776.34
88,13804663.79
89,12182216.12
90,6243937.33
91,8200837.53
92,15194599.92
93,16359396.47
94,8120702.01
95,8434916.46
96,10280690.83
97,9168777.33
98,10685595.62
99,15457843.45
100,13037384.72
101,11073256.79
102,10389963.52
103,5449661.69
104,11547557.38
105,13685790.99
106,13301946.53
107,13793433.18
108,9846038.76
109,15925218.82
110,6093158.74
111,10108659.59
112,13311967.55
113,9342579.29
114,13193506.99
115,11539361.2
116,15594342.35
117,11491175.92
118,13495646.06
119,6106195.5
120,9836142.75
121,6913693.17
122,16128445.58
123,15452289.8
124,9530358.89
125,14919456.02
126,11505490.74
127,11215385.26
128,10441179.03
129,5168049.34
130,10220904.68
131,15554567.54
132,3638244.31
133,8376136.05
134,7543443.12
135,9003973.04
136,14720481.01
137,16277933.32
138,13540456.78
139,13856172.43
140,11637745.6
141,9073839.57
142,16147888.17
143,8541526.62
144,8931238.36
145,8899084.64
146,11989111.05
147,13707619.73
148,8099509.71
149,8385846.7
150,6239557.94
151,9935326.36
152,11600087.68
153,11320601.35
154,10934314.88
155,11892518.59
156,11473259.59
157,10602030.13
158,10825053.87
159,13060010.81
160,11140459.24
161,12448828.13
162,12177482.64
163,12544706.96
164,14324225.11
165,10904585.1
166,13421740.41
167,13258614.76
168,14482002.31
169,15322627.24
170,13536644.15
171,13518823.91
172,14561018.85
173,13623021.21
174,14614653.33
175,11847769.52
176,12876508.9
177,14506892.74
178,14291826.9
179,13955479.63
180,14824712.92
181,13277505.07
182,11410008.03
183,12427402.19
184,12766951.14
185,11485766.66
186,14125832.22
187,11999938.02
188,13119610.7
189,6670034.21
190,9163582.79
191,5646953.83
192,8706873.66
193,8088613.21
194,8573651.2
195,12088146.96
196,13586753.28
197,13140553.99
198,11780066.09
199,13692690.57
200,11824351.23
201,12569901.3
202,15645766.94
203,12320132.09
204,13409674.81
205,13726651.04
206,13811835.26
207,14313140.41
208,14726537.81
