Registro,Time,Standar Desviation,Min Fitness,Max Fitness,Best_Fitness_Promedio
0,2.238710403442383,0.0,12671208.96,12671208.96,12671208.96
1,2.247977638244629,0.0,11804297.49,11804297.49,11804297.49
2,2.26970956325531,0.0,15265720.47,15265720.47,15265720.47
3,2.312804937362671,0.0,15221959.82,15221959.82,15221959.82
4,3.111015486717224,0.0,13618874.97,13618874.97,13618874.97
5,3.5546013355255126,0.0,19142258.64,19142258.64,19142258.64
6,5.567176175117493,0.0,18618991.73,18618991.73,18618991.73
7,3.7748693943023683,0.0,16669364.75,16669364.75,16669364.75
8,3.840306544303894,0.0,19055493.98,19055493.98,19055493.98
9,3.9128149271011354,0.0,17296864.91,17296864.91,17296864.91
10,4.001739430427551,0.0,19063267.62,19063267.62,19063267.62
11,2.679614281654358,0.0,18002068.49,18002068.49,18002068.49
12,4.062972450256348,0.0,19539109.54,19539109.54,19539109.54
13,2.6897363662719727,0.0,17647205.48,17647205.48,17647205.48
14,2.747680926322937,0.0,17332583.38,17332583.38,17332583.38
15,2.6720579862594604,0.0,17709680.06,17709680.06,17709680.06
16,2.740170049667358,0.0,18552281.67,18552281.67,18552281.67
17,2.701548862457275,0.0,16548468.3,16548468.3,16548468.3
18,2.721184754371643,0.0,15776653.26,15776653.26,15776653.26
19,2.7184382677078247,0.0,15222321.88,15222321.88,15222321.88
20,2.7140472412109373,0.0,18031776.92,18031776.92,18031776.92
21,2.71623010635376,0.0,17205852.2,17205852.2,17205852.2
22,4.094623327255249,0.0,16486099.61,16486099.61,16486099.61
23,2.6880675554275513,0.0,15605259.82,15605259.82,15605259.82
24,2.689922881126404,0.0,17357045.97,17357045.97,17357045.97
25,2.738025188446045,0.0,17365826.36,17365826.36,17365826.36
26,2.777133417129517,0.0,17650759.67,17650759.67,17650759.67
27,4.010221290588379,0.0,19711893.37,19711893.37,19711893.37
28,4.062705421447754,0.0,20097495.01,20097495.01,20097495.01
29,2.7533578872680664,0.0,17252322.57,17252322.57,17252322.57
30,4.078966212272644,0.0,21463856.22,21463856.22,21463856.22
31,2.7379987955093386,0.0,19757901.29,19757901.29,19757901.29
32,2.7704967260360718,0.0,21596605.28,21596605.28,21596605.28
33,4.04485125541687,0.0,22687151.76,22687151.76,22687151.76
34,2.6829854249954224,0.0,19155581.56,19155581.56,19155581.56
35,2.7174249410629274,0.0,21510772.76,21510772.76,21510772.76
36,4.059495234489441,0.0,17796290.44,17796290.44,17796290.44
37,2.7183857202529906,0.0,19440593.62,19440593.62,19440593.62
38,2.7398762464523316,0.0,19059999.16,19059999.16,19059999.16
39,2.7661981344223023,0.0,12493853.22,12493853.22,12493853.22
40,4.087526607513428,0.0,13505063.17,13505063.17,13505063.17
41,2.747183609008789,0.0,13641849.38,13641849.38,13641849.38
42,2.69679970741272,0.0,21026569.97,21026569.97,21026569.97
43,6.16158812046051,0.0,21287455.12,21287455.12,21287455.12
44,2.799834060668945,0.0,20209416.74,20209416.74,20209416.74
45,4.190107965469361,0.0,14463922.67,14463922.67,14463922.67
46,3.0142853260040283,0.0,12120732.55,12120732.55,12120732.55
47,2.8102956056594848,0.0,14737164.94,14737164.94,14737164.94
48,4.148099970817566,0.0,12264900.98,12264900.98,12264900.98
49,2.7293872356414797,0.0,16196545.63,16196545.63,16196545.63
50,2.818255829811096,0.0,16164087.65,16164087.65,16164087.65
51,4.049711656570435,0.0,16725778.75,16725778.75,16725778.75
52,2.680883693695068,0.0,11538697.3,11538697.3,11538697.3
53,2.6258721590042113,0.0,20502913.31,20502913.31,20502913.31
54,2.7546194076538084,0.0,19814321.48,19814321.48,19814321.48
55,2.763054132461548,0.0,13152465.5,13152465.5,13152465.5
56,2.829170799255371,0.0,20518321.93,20518321.93,20518321.93
57,3.9864060163497923,0.0,20109796.43,20109796.43,20109796.43
58,3.5966711044311523,0.0,16541835.44,16541835.44,16541835.44
59,2.8613554716110228,0.0,14724733.08,14724733.08,14724733.08
60,3.5581936836242676,0.0,14657675.58,14657675.58,14657675.58
61,3.5192805767059325,0.0,14588746.18,14588746.18,14588746.18
62,2.776633048057556,0.0,16727561.92,16727561.92,16727561.92
63,3.5488200187683105,0.0,20414643.19,20414643.19,20414643.19
64,2.7671838760375977,0.0,14945515.77,14945515.77,14945515.77
65,2.8065133571624754,0.0,12746891.32,12746891.32,12746891.32
66,3.5512569189071654,0.0,13364347.83,13364347.83,13364347.83
67,3.5654039859771727,0.0,11986941.78,11986941.78,11986941.78
68,2.765211296081543,0.0,14567027.72,14567027.72,14567027.72
69,2.7662104845046995,0.0,15797701.5,15797701.5,15797701.5
70,3.5288171768188477,0.0,14909252.27,14909252.27,14909252.27
71,2.643195462226868,0.0,18181306.22,18181306.22,18181306.22
72,2.7784962177276613,0.0,14226976.31,14226976.31,14226976.31
73,3.592279839515686,0.0,17506707.39,17506707.39,17506707.39
74,3.578356623649597,0.0,18461144.12,18461144.12,18461144.12
75,2.812149691581726,0.0,18651608.11,18651608.11,18651608.11
76,2.6499070167541503,0.0,14849887.97,14849887.97,14849887.97
77,2.816224479675293,0.0,17766362.43,17766362.43,17766362.43
78,3.5733017206192015,0.0,19848959.18,19848959.18,19848959.18
