Registro,Time,Standar Desviation,Min Fitness,Max Fitness,Best_Fitness_Promedio
0,2.9241597652435303,0.0,14434604.45,14434604.45,14434604.45
1,2.7942028045654297,0.0,12785798.51,12785798.51,12785798.51
2,2.883585214614868,0.0,14604254.75,14604254.75,14604254.75
3,2.736645460128784,0.0,14970359.38,14970359.38,14970359.38
4,2.6936264038085938,0.0,15022611.38,15022611.38,15022611.38
5,2.705146074295044,0.0,14210464.83,14210464.83,14210464.83
6,2.754331350326538,0.0,12670973.98,12670973.98,12670973.98
7,2.597024440765381,0.0,12301342.93,12301342.93,12301342.93
8,2.6248199939727783,0.0,15732378.14,15732378.14,15732378.14
9,3.0301332473754883,0.0,14403328.81,14403328.81,14403328.81
10,2.8400232791900635,0.0,14634375.95,14634375.95,14634375.95
11,2.5734636783599854,0.0,12849758.29,12849758.29,12849758.29
12,2.603449583053589,0.0,14991109.65,14991109.65,14991109.65
13,2.856472969055176,0.0,14617275.28,14617275.28,14617275.28
14,2.723111629486084,0.0,14754079.39,14754079.39,14754079.39
15,2.7129967212677,0.0,14721953.59,14721953.59,14721953.59
16,2.491105318069458,0.0,14734106.65,14734106.65,14734106.65
17,2.9318418502807617,0.0,14333708.96,14333708.96,14333708.96
18,2.7542343139648438,0.0,12400268.18,12400268.18,12400268.18
19,2.7330386638641357,0.0,14369953.96,14369953.96,14369953.96
20,2.5453412532806396,0.0,15373033.78,15373033.78,15373033.78
21,2.944852590560913,0.0,12901740.48,12901740.48,12901740.48
22,3.226447582244873,0.0,17846547.68,17846547.68,17846547.68
23,2.6048223972320557,0.0,14684651.07,14684651.07,14684651.07
24,2.6121416091918945,0.0,16479261.89,16479261.89,16479261.89
25,2.9846351146698,0.0,17396011.87,17396011.87,17396011.87
26,2.9147119522094727,0.0,14489813.99,14489813.99,14489813.99
27,2.933596134185791,0.0,14938230.86,14938230.86,14938230.86
28,2.7138922214508057,0.0,16092708.6,16092708.6,16092708.6
29,3.1073532104492188,0.0,14934238.2,14934238.2,14934238.2
30,3.323225498199463,0.0,16568626.44,16568626.44,16568626.44
