Registro,Best_Fitness_Promedio HC
0,7350.042339
1,6651.833755
2,7339.83602
3,7441.446237
4,7557.406631
5,7243.581481
6,6955.961771
7,6634.945658
8,7332.409205
9,7227.60425
10,7139.107393
11,7048.537165
12,7340.507017
13,7378.234455
14,7486.899362
15,7380.791624
16,7289.543678
17,7023.866075
18,6695.241616
19,7697.635824
20,7517.649228
21,7264.038739
22,8097.663959
23,7299.429951
24,7959.014962
25,8505.310574
26,7437.535968
27,7689.401556
28,7635.792299
29,7187.487558
30,7935.047149
31,7045.241822
32,7658.483762
33,7430.253264
34,8072.713321
35,6980.79531
36,6906.284425
37,7568.142194
38,7596.263073
39,7736.915976
