Registro,Best_Fitness_Promedio
0,9525.081404
1,8873.08357
2,9435.382853
3,9502.878526
4,9347.173188
5,9361.194579
6,9050.455236
7,8851.994703
8,9319.441264
9,9301.178162
10,9142.112603
11,8946.076874
12,9370.38038
13,9406.288906
14,9513.568726
15,9493.664419
16,9247.414893
17,8950.99385
18,8580.866914
19,9228.697522
20,9006.836359
21,9134.410567
22,9112.151781
23,9370.155626
24,9338.485302
25,9605.256087
26,9393.203466
27,9639.62849
28,9270.913407
29,8953.438955
30,9296.767975
31,9118.431075
32,9655.277464
33,9126.434209
34,9136.941353
35,9088.946271
36,8032.874563
37,8981.30859
38,9488.16783
39,9370.747209
