x,p(x),p(x2),P(X3),30
5000,1.05746E-09,8.39689E-12,1.07152E-45,
5030,1.59057E-09,1.33499E-11,4.23763E-45,
5060,2.37783E-09,2.11009E-11,1.65951E-44,
5090,3.53301E-09,3.31575E-11,6.43537E-44,
5120,5.21733E-09,5.17991E-11,2.47115E-43,
5150,7.65754E-09,8.04496E-11,9.39637E-43,
5180,1.11704E-08,1.24218E-10,3.53797E-42,
5210,1.61952E-08,1.90681E-10,1.31912E-41,
5240,2.33369E-08,2.90998E-10,4.87018E-41,
5270,3.34223E-08,4.41501E-10,1.7805E-40,
5300,4.75739E-08,6.65939E-10,6.44573E-40,
5330,6.73038E-08,9.98613E-10,2.31066E-39,
5360,9.46343E-08,1.48874E-09,8.20229E-39,
5390,1.3225E-07,2.2065E-09,2.88315E-38,
5420,1.83688E-07,3.25122E-09,1.00354E-37,
5450,2.53574E-07,4.76267E-09,3.45887E-37,
5480,3.4791E-07,6.93608E-09,1.18051E-36,
5510,4.74425E-07,1.00424E-08,3.98968E-36,
5540,6.42993E-07,1.44551E-08,1.33518E-35,
5570,8.6613E-07,2.06855E-08,4.42463E-35,
5600,1.15957E-06,2.94287E-08,1.45194E-34,
5630,1.54295E-06,4.16233E-08,4.71794E-34,
5660,2.04053E-06,5.85277E-08,1.51807E-33,
5690,2.68209E-06,8.18176E-08,4.83687E-33,
5720,3.50381E-06,1.13708E-07,1.52606E-32,
5750,4.54933E-06,1.57108E-07,4.76773E-32,
5780,5.87073E-06,2.15806E-07,1.47498E-31,
5810,7.52965E-06,2.94707E-07,4.51851E-31,
5840,9.59834E-06,4.00107E-07,1.37069E-30,
5870,1.21606E-05,5.40036E-07,4.11732E-30,
5900,1.53127E-05,7.24652E-07,1.22469E-29,
5930,1.91641E-05,9.66711E-07,3.6072E-29,
5960,2.38376E-05,1.28211E-06,1.05208E-28,
5990,2.94697E-05,1.69048E-06,3.03852E-28,
6020,3.62098E-05,2.21594E-06,8.6898E-28,
6050,4.42197E-05,2.8878E-06,2.46088E-27,
6080,5.36714E-05,3.7414E-06,6.9009E-27,
6110,6.47453E-05,4.81906E-06,1.91626E-26,
6140,7.76269E-05,6.17094E-06,5.26911E-26,
6170,9.25026E-05,7.85597E-06,1.43468E-25,
6200,0.000109556,9.9428E-06,3.86817E-25,
6230,0.000128959,1.25106E-05,1.03274E-24,
6260,0.000150872,1.56497E-05,2.7303E-24,
6290,0.00017543,1.94624E-05,7.14765E-24,
6320,0.000202739,2.40628E-05,1.85289E-23,
6350,0.000232868,2.95771E-05,4.75633E-23,
6380,0.000265839,3.61432E-05,1.209E-22,
6410,0.000301625,4.39093E-05,3.0431E-22,
6440,0.000340137,5.30331E-05,7.58472E-22,
6470,0.000381223,6.36792E-05,1.87196E-21,
6500,0.00042466,7.60167E-05,4.57497E-21,
