Registro,Time,Standar Desviation,Min Fitness,Max Fitness,Best_Fitness_Promedio
0,41.91987228393555,0.0,18393470.79,18393470.79,18393470.79
1,41.089465618133545,0.0,18177268.68,18177268.68,18177268.68
2,43.110257148742676,0.0,21679766.48,21679766.48,21679766.48
3,43.7453396320343,0.0,21594931.02,21594931.02,21594931.02
4,55.088367223739624,0.0,16460403.15,16460403.15,16460403.15
5,45.851051807403564,0.0,24584825.15,24584825.15,24584825.15
6,65.34760856628418,0.0,23136747.61,23136747.61,23136747.61
7,50.25319314002991,0.0,22111931.26,22111931.26,22111931.26
8,50.39781165122986,0.0,24498060.5,24498060.5,24498060.5
9,50.98592686653137,0.0,22739431.42,22739431.42,22739431.42
10,53.13123965263367,0.0,24505834.13,24505834.13,24505834.13
11,52.42028069496155,0.0,24375039.69,24375039.69,24375039.69
12,53.89493227005005,0.0,24981676.05,24981676.05,24981676.05
13,53.14884114265442,0.0,24020176.68,24020176.68,24020176.68
14,53.67082858085632,0.0,23705554.58,23705554.58,23705554.58
15,52.861220836639404,0.0,24123726.07,24123726.07,24123726.07
16,53.78569030761719,0.0,24925252.87,24925252.87,24925252.87
17,53.82285141944885,0.0,22921439.5,22921439.5,22921439.5
18,53.47307777404785,0.0,21498915.08,21498915.08,21498915.08
19,53.598156452178955,0.0,21595293.07,21595293.07,21595293.07
20,52.447837352752686,0.0,24208135.69,24208135.69,24208135.69
21,52.872427463531494,0.0,23318606.37,23318606.37,23318606.37
22,53.312838554382324,0.0,21928666.12,21928666.12,21928666.12
23,52.75800395011902,0.0,21327521.64,21327521.64,21327521.64
24,53.01789355278015,0.0,23771091.99,23771091.99,23771091.99
25,53.785807609558105,0.0,23381629.28,23381629.28,23381629.28
26,53.30196261405945,0.0,24023730.86,24023730.86,24023730.86
27,53.10065674781799,0.0,25154459.88,25154459.88,25154459.88
28,53.46881055831909,0.0,25540061.52,25540061.52,25540061.52
29,52.569650650024414,0.0,23625293.77,23625293.77,23625293.77
30,53.86433219909668,0.0,26906422.73,26906422.73,26906422.73
31,51.92664885520935,0.0,26130872.49,26130872.49,26130872.49
32,54.11349892616272,0.0,27612408.2,27612408.2,27612408.2
33,53.65372586250305,0.0,28729456.41,28729456.41,28729456.41
34,55.36560034751892,0.0,25528552.76,25528552.76,25528552.76
35,53.552358865737915,0.0,27883743.96,27883743.96,27883743.96
36,54.56123208999634,0.0,23238856.95,23238856.95,23238856.95
37,53.37155866622925,0.0,25813564.82,25813564.82,25813564.82
38,52.67693781852722,0.0,25075802.08,25075802.08,25075802.08
39,68.62195944786072,0.0,15312910.44,15312910.44,15312910.44
40,54.50841236114502,0.0,19386179.84,19386179.84,19386179.84
41,56.199557304382324,0.0,20014820.58,20014820.58,20014820.58
42,55.6928436756134,0.0,27399541.17,27399541.17,27399541.17
43,73.90458464622498,0.0,25671445.43,25671445.43,25671445.43
44,53.56141233444214,0.0,26582387.94,26582387.94,26582387.94
45,52.65087032318115,0.0,19906489.18,19906489.18,19906489.18
46,67.24126482009888,0.0,15044896.22,15044896.22,15044896.22
47,67.57495021820068,0.0,17565951.72,17565951.72,17565951.72
48,52.193217277526855,0.0,18589000.22,18589000.22,18589000.22
49,51.888312578201294,0.0,22569516.83,22569516.83,22569516.83
50,67.04732584953308,0.0,19066398.03,19066398.03,19066398.03
51,53.081568479537964,0.0,22168345.26,22168345.26,22168345.26
52,52.40065145492554,0.0,17911668.5,17911668.5,17911668.5
53,52.52882766723633,0.0,26875884.51,26875884.51,26875884.51
54,66.85602736473083,0.0,22879280.22,22879280.22,22879280.22
55,69.69614744186401,0.0,15981252.27,15981252.27,15981252.27
56,69.72257232666016,0.0,23337379.15,23337379.15,23337379.15
57,54.582738161087036,0.0,26397940.52,26397940.52,26397940.52
58,69.86554622650146,0.0,19380851.06,19380851.06,19380851.06
59,69.2723343372345,0.0,17724519.92,17724519.92,17724519.92
60,66.77596092224121,0.0,17489474.21,17489474.21,17489474.21
61,67.10753393173218,0.0,17522635.66,17522635.66,17522635.66
62,64.47961401939392,0.0,18801077.45,18801077.45,18801077.45
63,68.09287309646606,0.0,23246441.83,23246441.83,23246441.83
64,66.05532336235046,0.0,18010474.52,18010474.52,18010474.52
65,67.4294753074646,0.0,15565948.55,15565948.55,15565948.55
66,68.56123447418213,0.0,16196146.46,16196146.46,16196146.46
67,68.29384326934814,0.0,14818740.41,14818740.41,14818740.41
68,66.76280617713928,0.0,17770984.89,17770984.89,17770984.89
69,67.34553360939026,0.0,18626488.27,18626488.27,18626488.27
70,67.69661855697632,0.0,17714897.61,17714897.61,17714897.61
71,69.38214707374573,0.0,21537486.54,21537486.54,21537486.54
72,68.41744661331177,0.0,17046033.53,17046033.53,17046033.53
73,66.6319797039032,0.0,20527806.45,20527806.45,20527806.45
74,69.25915265083313,0.0,21300159.75,21300159.75,21300159.75
75,67.21943283081055,0.0,21793401.51,21793401.51,21793401.51
76,54.08859324455261,0.0,21222859.17,21222859.17,21222859.17
77,69.61687397956848,0.0,20634091.14,20634091.14,20634091.14
78,68.6592583656311,0.0,22680757.81,22680757.81,22680757.81
