Registro;Time;Best_Fitness_Promedio
0;2,924159765;14434604,45
1;2,794202805;12785798,51
2;2,883585215;14604254,75
3;2,73664546;14970359,38
4;2,693626404;15022611,38
5;2,705146074;14210464,83
6;2,75433135;12670973,98
7;2,597024441;12301342,93
8;2,624819994;15732378,14
9;3,030133247;14403328,81
10;2,840023279;14634375,95
11;2,573463678;12849758,29
12;2,603449583;14991109,65
13;2,856472969;14617275,28
14;2,723111629;14754079,39
15;2,712996721;14721953,59
16;2,491105318;14734106,65
17;2,93184185;14333708,96
18;2,754234314;12400268,18
19;2,733038664;14369953,96
20;2,545341253;15373033,78
21;2,944852591;12901740,48
22;3,226447582;17846547,68
23;2,604822397;14684651,07
24;2,612141609;16479261,89
25;2,984635115;17396011,87
26;2,914711952;14489813,99
27;2,933596134;14938230,86
28;2,713892221;16092708,6
29;3,10735321;14934238,2
30;3,323225498;16568626,44
31;2,563955069;14786664,18
32;2,577662468;15033489,09
33;3,113247156;15472461,96
34;3,099845886;16978378,71
35;2,716841698;12040842,79
36;2,735412121;14411432,98
37;3,232466698;15576386,55
38;3,044559479;15235933,16
39;2,863163471;16122439,99
40;2,817683935;13802204,81
41;3,205447912;14090209,22
42;3,172613144;15544447,2
43;2,712491512;15137344,95
44;2,701446295;15798475,47
45;3,095430851;14990594,59
46;2,926839828;14658111,93
47;2,678077459;13384987,81
48;2,561517;13637732,94
49;3,349446535;15460474,01
50;2,712717772;16570461,37
51;2,817828655;16386121,27
52;3,031578302;15919189,99
53;3,165865183;14883787,29
54;2,751660585;15224371,38
55;2,625945568;13336147,71
56;2,701060534;15504131,49
57;3,297432899;13610964
58;2,820854664;18213076,26
59;2,575106382;17772498,64
60;2,787216425;18096654,02
61;3,176896572;18916394,39
62;2,825601578;13917956,55
63;2,703159809;13618761,95
64;2,762072563;14522973,66
65;3,523785591;12749197,97
66;2,864442587;19209611,6
67;3,190714121;17112610,58
68;2,898792744;16924016,77
69;3,055250645;12405219,02
70;2,627515793;12583141,67
71;2,699585199;16805097,52
72;2,908759117;12406452,05
73;3,147978067;12941359,25
74;2,867089272;11448278,54
75;2,575342655;11405975,04
76;3,469280243;9853731,53
77;3,010476828;13807318,75
78;2,621764421;16937878,96
79;2,599903345;17120001,79
80;3,789299011;9649269,84
81;3,263073206;14313851,49
82;2,585289478;20216394,88
83;2,831981897;19598969,53
84;2,989349365;13344809,7
85;3,217298985;15034333,14
86;2,54741168;20329645,56
87;2,841711998;19341040,83
88;3,00836277;17496966,01
89;3,361453056;16022311,85
90;3,262650967;10083296,84
91;3,822310448;13007625,3
92;3,227814913;19033959,43
93;2,572119236;20297811,14
94;3,228821993;12392979,61
95;3,711350679;12706380,7
96;2,699569941;14241189,46
97;2,633967161;12281707,93
98;3,693675995;15492383,39
99;2,615000725;19396258,11
100;2,64679122;16628984,7
101;2,761291504;15216076,92
102;3,087964535;14334474,54
103;3,365011215;8854105,64
104;2,770220995;15913432,52
105;3,21252203;17625558,48
106;3,758947372;16589350,92
107;3,164330721;17632792,69
108;2,531932592;13667392,21
109;2,666777372;19860579,63
110;3,604440212;9497602,7
111;2,982275963;14362906,82
112;2,864708662;18626266,19
113;3,121417284;13264134,87
114;3,499882698;17133274,49
115;2,689453602;16028544,84
116;2,549874306;19529703,16
117;2,803503752;14869158,64
118;3,461194038;17335005,57
119;3,23789072;11438730,24
120;1,439094543;14078704,97
121;2,73350215;10837609,33
122;3,015646458;19593652,11
123;2,602159977;18565220,4
124;2,890735388;14390597,69
125;2,839651346;18476294,01
126;2,914638042;15168515,4
127;3,230304241;15591482,01
128;2,598011017;14385690,04
129;3,477622986;9884831,05
130;3,434951067;14060264,19
131;2,488141298;19489928,35
132;1,452702045;8245404,46
133;3,375727892;11781344,96
134;3,595980883;12350230,89
135;2,509870291;12712634,22
136;2,940560341;18304125,42
137;2,720671892;19986594,51
138;2,871971607;17478871,44
139;2,670351505;18024819,17
140;2,694919109;15878807,51
141;2,525724649;12768002,26
142;2,940679789;19671075,99
143;2,628512144;12342896,25
144;2,682275534;12639899,54
145;2,4871912;12823179,6
146;3,57293582;15828470,56
147;3,220833302;18898027,34
148;3,398046732;12370973,95
149;3,606460094;12225206,21
150;3,386479378;10956339,64
151;1,613342285;12633144,02
152;3,282988787;15872365,28
153;3,61996603;15159960,86
154;3,240573168;15646581,38
155;3,374182701;16268615,34
156;3,22746563;16186339,45
157;3,654814243;14976713,18
158;3,387043476;15631841,64
159;3,702878714;17773090,67
160;3,487807274;15515142,29
161;3,259300947;15736232,51
162;3,565284967;16017655,51
163;3,378208876;16816171,19
164;3,310679436;17729434,01
165;3,173477411;15176049,34
166;1,817282915;16119558,08
167;3,399035454;16545205,78
168;3,232146978;17768593,33
169;3,253360271;19162800,11
170;3,714844704;17255339,89
171;3,476769924;16923267,86
172;3,242150307;18937115,6
173;3,524771452;17894485,44
174;3,378964901;17901244,36
175;3,222405195;16222452,57
176;3,599331856;17251191,95
177;3,636188745;18346252,25
178;3,259193897;18131186,41
179;3,246738195;18226943,87
180;3,785002947;18111303,94
181;3,463917971;18084292,84
182;3,259023428;16216795,8
