Registro;Time;Best_Fitness_Promedio
0;0.242451453;13484829.08
1;0.224371862;11926369.36
2;0.369095516;13577434.52
3;0.223450565;13836614.51
4;0.398991132;14134599.96
5;0.237347722;13035134.54
6;0.227439189;11495643.69
7;0.230275416;11119174.19
8;0.379631376;14719805.21
9;0.358697915;13376934.4
10;0.377970529;13606455.59
11;0.277473617;11728855.7
12;0.37068789;13959532.31
13;0.217604446;13637385.57
14;0.355238199;13806492.28
15;0.386332536;13695133.36
16;0.346787524;13790103.71
17;0.34996717;13302545.7
18;0.250429916;11224937.89
19;0.346907234;13341610.06
20;0.244912696;14251573.47
21;0.380543756;12166124.65
22;0.19921453;16630877.84
23;0.341391945;13656730.71
24;0.344335556;15474939.04
25;0.236077499;16232366.05
26;0.374894094;13463419.58
27;0.338553596;13911836.45
28;0.355582881;15061131.26
29;0.380692172;13908257.87
30;0.342363858;15541044.08
31;0.36689198;13852192.23
32;0.397057748;14103984.66
33;0.338816571;14442255.48
34;0.211200571;16004161.53
35;0.365555978;11040752.74
36;0.271115136;13300410.5
37;0.223517346;14739837.89
38;0.367253637;14213195.73
39;0.345106435;15106003.7
40;0.378541732;12772057.98
41;0.339407849;13086462.19
42;0.370076036;14531557.25
43;0.299448919;14016442.36
44;0.364227772;14772081.06
45;0.262245321;13869692
46;0.223422599;13532124.92
47;0.387247157;12384897.77
48;0.354711032;12693730
49;0.243343711;14326729.14
50;0.385489917;15542541.02
51;0.34575696;15358200.91
52;0.219368744;14883554.46
53;0.23778522;13894076.45
54;0.270465875;14131299.11
55;0.367832518;12387324.16
56;0.34981637;14477737.08
57;0.149736023;12984433.78
58;0.365732574;17323228.49
59;0.236444283;16777803.13
60;0.338287354;17173193.17
61;0.254471612;17916515.95
62;0.386622047;13008232.5
63;0.33432405;12595581.49
64;0.351916885;13499793.2
65;0.223296618;11573867.68
66;0.367087317;18193175.3
67;0.155628419;16036655.99
68;0.374243259;15902397.54
69;0.224907088;11415508.17
70;0.402893281;11667988.83
71;0.237941027;15845714.04
72;0.237804031;11217132.48
73;0.383433437;12011707.91
74;0.361552548;10462241.54
75;0.379066586;10490822.2
76;0.160707688;9222651.25
77;0.387004709;12877477.75
78;0.353780127;16008227.62
79;0.368299651;16204848.95
80;0.168039393;9008230.82
81;0.167713952;13147447.67
82;0.372742677;19286743.54
83;0.226296616;18772622.76
84;0.393395972;12429656.86
85;0.156330991;13958378.56
86;0.377539563;19399994.22
87;0.222127938;18181698.15
88;0.283968544;16460403.17
89;0.15887363;14957847.87
90;0.16061964;9007342.26
91;0.162554693;11841221.49
92;0.179185367;17958004.85
93;0.399400997;19368159.8
94;0.164243412;11761085.97
95;0.168740916;12075300.42
96;0.231322098;13065859.17
97;0.364483452;11546092.1
98;0.196219325;14325979.58
99;0.355881453;18466606.77
100;0.346937895;15699333.36
101;0.260339928;14100192.57
102;0.268990779;13175131.85
103;0.162839484;8213066.62
104;0.246120238;14799389.87
105;0.158357286;16449195.92
106;0.177109766;15373681.08
107;0.157745886;16556838.11
108;0.394722939;12737740.87
109;0.366827583;18931290.61
110;0.167076468;8856563.67
111;0.419102836;13336512.41
112;0.344070601;17689635.62
113;0.378616285;12237314.65
114;0.175942898;15956911.92
115;0.379870486;14996967.5
116;0.3480515;18600414.14
117;0.224977207;13828604.57
118;0.174914813;16259050.99
119;0.390461159;11150848.71
120;0.160876179;13327493.37
121;0.35376389;9922456.49
122;0.404950953;18673333
123;0.404006505;17829604.57
124;0.230163765;13189741.6
125;0.249578214;17460330.68
126;0.411520529;14239010.97
127;0.157375574;13839888.29
128;0.214748526;13226347.36
129;0.155434394;9248549.81
130;0.157961416;12984309.61
131;0.40786612;18560639.33
132;0.236376691;8254159
133;0.156781125;11000639.08
134;0.156750298;11183827.07
135;0.352311492;11782982.88
136;0.405822158;17619824.11
137;0.36289556;19056943.17
138;0.355552936;16549220.1
139;0.397170258;17002081.75
140;0.344000459;14929285.08
141;0.345171547;11852849.42
142;0.393538809;18736068.72
143;0.214964533;11158783.52
144;0.341268373;11710248.2
145;0.352964282;11908505.31
146;0.193259025;14752515.98
147;0.152342081;17664675.27
148;0.150743365;11739893.67
149;0.152318406;11149251.62
150;0.150742173;10320058.4
151;0.378498149;13041767.23
152;0.18062396;15101569.74
153;0.153545332;14084006.28
154;0.157188654;14570626.8
155;0.152183938;14517021.62
156;0.153079772;14970669.61
157;0.152295876;13365435.06
158;0.173001504;14465437.82
159;0.150214791;16557420.83
160;0.150314188;13903864.17
161;0.151803327;14520562.67
162;0.156207585;14940887.57
163;0.151400042;16185090.91
164;0.17477324;17087630.04
165;0.193050885;14544969.06
166;0.338371015;16528181.29
167;0.150661111;15469251.2
168;0.165535879;16692638.75
169;0.156449699;18086032.17
170;0.167125583;16624259.61
171;0.193781471;16282228.84
172;0.156755686;17324423.78
173;0.154571056;17263405.16
174;0.156639791;16825289.78
175;0.152053881;14611174.45
176;0.157669902;15639913.83
177;0.168970776;17270297.67
178;0.191076469;17055231.83
179;0.154402852;17595863.59
180;0.155621219;17035349.36
181;0.151666474;16917889.03
182;0.154382324;15050391.98
183;0.153769565;15190807.12
184;0.171254945;15530356.07
185;0.189279342;14249171.59
186;0.347035837;16747024.91
187;0.342766094;15106378.9
188;0.386811876;15898620.54
189;0.170662379;9433439.14
190;0.153374648;11926987.72
191;0.156613374;8410358.76
192;0.153212309;11470278.59
193;0.152130413;11728997.17
194;0.392247176;12170590.37
195;0.163406873;14159881.5
196;0.156474137;16350158.21
197;0.154177737;15903958.91
198;0.342676306;15377005.27
199;0.167508006;17333074.53
200;0.192030668;15460663.15
201;0.155103064;16206213.22
202;0.153505063;19147249
203;0.153399897;15083537.02
204;0.15513835;17050058.77
205;0.158861828;16490055.97
206;0.179785895;15883569.81
207;0.192735696;17953524.36
208;0.153764582;18366921.76
209;0.159867978;17526393.28
210;0.156661177;17888283.41
211;0.153759575;15819445.46
212;0.158392859;16189543.47
213;0.398746753;12538682
214;0.153655171;9195993.52
215;0.149357271;9805933.9
216;0.160037971;9253452.43
217;0.152526808;9240196.18
218;0.158365583;10669673.28
219;0.171383166;7504732.64
220;0.194088101;8728241.79
221;0.219312286;12405387.72
222;0.222286677;8438860.7
223;0.177706361;11065205.76
224;0.15531981;8820431.29
225;0.176748347;14488850.44
226;0.202167463;9466987.39
227;0.152447271;12001154.83
228;0.155502319;8955167.69
229;0.159340811;9471918.47
230;0.151835036;9626264.4
231;0.153512692;8782867.38
232;0.178089285;11284517.13
233;0.20151639;12729506.67
234;0.158073378;11544079.05
235;0.154543495;12702120.92
236;0.155798554;12054412.91
237;0.155416083;12536842.86
238;0.387585282;9476100.53
239;0.158618999;7968053.14
240;0.352130723;12120993.81
241;0.176865506;11825831.99
242;0.262467098;11861866.71
243;0.155990219;15063867.52
244;0.350174904;14819389.38
245;0.153939152;12381110.3
246;0.157343769;14767239.53
247;0.186493587;13008610.46
248;0.190152836;14775013.16
249;0.16702745;14550803.44
250;0.157771611;15250855.09
251;0.160725307;13655880.77
252;0.162759757;13341258.67
253;0.404118514;14984680.08
254;0.161924887;14560956.96
255;0.162405658;13097203.25
256;0.351139021;12581544.82
257;0.379047394;12446940.11
258;0.38132534;15306776.94
259;0.240665078;14457578.53
260;0.158641648;12197845.16
261;0.383409405;12829878.05
262;0.385628533;15205700.53
263;0.165935874;14489368.35
264;0.159977341;13659434.96
265;0.159500337;15213775.58
266;0.15657475;16349300.22
267;0.208692598;14942344.52
268;0.16107111;17175601.77
269;0.160216737;16341383.62
270;0.158479524;18180087.61
271;0.151944709;19916889.72
272;0.157659173;15164256.85
273;0.158772254;17519448.06
274;0.213949656;13298172.65
275;0.162883925;15239405.58
276;0.154773259;15643481.49
277;0.226667404;11109556.44
278;0.159558296;9613826.82
279;0.157743239;10231197.19
280;0.193684649;17610052.3
281;0.382599044;17477320.05
282;0.168152046;17229761.58
283;0.167868996;10175668.22
284;0.367488742;10926887.18
285;0.282828212;13346340.59
286;0.356212211;13662122.91
287;0.156834245;12777797.99
288;0.342890191;14384794.36
289;0.209967113;12618338.91
290;0.159488058;8142569.47
291;0.162442684;17071871.28
292;0.354892659;18477152.14
293;0.243579316;11641650.87
294;0.418411803;18895867.24
295;0.16097939;16429432.31
296;0.361577988;15135846.22
297;0.390926361;13445756.58
298;0.374710608;13395655.34
299;0.343740034;13274879.29
300;0.225991106;14385377.51
301;0.406672335;18899922.28
302;0.356136537;13459634.64
303;0.361700773;10871735.96
304;0.274483228;11991424.86
305;0.242696977;10156997.8
306;0.2444767;13428228.25
307;0.239205003;14177657.53
308;0.40293467;13023075.57
309;0.383655095;17333444.99
310;0.364849377;12580331.45
311;0.261104941;16855990.27
312;0.391386533;16859161.67
313;0.246900105;17480606.97
314;0.163615346;11013643.63
315;0.351735687;17445092.52
316;0.406102633;18278629.73
317;0.346420288;16314418.44
318;0.390950584;10310801.64
319;0.182496977;14226917.1
320;0.36391654;18126891.69
321;0.223691082;13454580.91
322;0.395781159;16501117.84
323;0.24590416;13793665.68
324;0.343076849;16705573.46
325;0.152933812;15485189.61
326;0.229746008;12013251.81
327;0.405218792;13554187.85
328;0.354331541;14082227.1
329;0.158861017;11149425.01
330;0.392037821;17372912.05
331;0.376564741;17850056.78
332;0.229247403;12178619.82
333;0.166737366;13321136.88
334;0.377429295;16841529.93
335;0.360989475;9772868.02
336;0.334264612;17597723.95
337;0.158246851;12904439.37
338;0.379418659;16852651.81
339;0.171954274;17528725.37
340;0.356219888;8442321.73
341;0.352932286;12062215.15
342;0.400765753;12957912.78
343;0.389577293;11837496.65
344;0.22543292;15632210.5
345;0.166656113;14387775.96
346;0.413876581;15693159.62
347;0.395184374;11839836.8
348;0.224133277;13378087.07
349;0.261150336;17703664.37
350;0.249395156;17138431.36
351;0.369036698;16157773.29
352;0.224098468;13747260.82
353;0.241593862;11912983.88
354;0.247614074;14801715.71
355;0.260302734;15120754.29
356;0.357134175;12978590.92
357;0.228174758;12852132.61
358;0.393198395;19034826.21
359;0.384019089;18520358.42
360;0.35761714;17099622.49
361;0.392835259;18054340.31
362;0.374080682;18718756.19
363;0.110844088;17485898.7
364;0.365947151;16894460.8
365;0.375282359;17120978.68
366;0.373451161;17949409.02
367;0.363720155;19039518.09
368;0.383972168;16752828.29
369;0.378092909;18142254.7
370;0.363444924;18398707.95
371;0.397549176;19036992.97
372;0.35689404;18794892.02
373;0.348593521;17509738.86
374;0.3890347;16677694.8
375;0.362922692;18636134.9
376;0.347944808;18698700.86
377;0.389441061;18060802.28
378;0.340538979;19089011.34
379;0.374918127;17631419.38
380;0.398497057;18285031.47
381;0.346237659;18603457.73
382;0.362197256;17801795.79
383;0.387362862;18402050.91
384;0.34674952;18806100.43
