Registro;Time;Best_Fitness_Promedio
0;2,927661014;17720217,3
1;2,267575026;16938501,84
2;2,961691332;18271647,11
3;2,299908519;18262281,91
4;2,96386013;18216323,74
5;3,372299576;17516746,98
6;3,200454021;16818727,65
7;3,146254587;16223477,2
8;3,209728479;19170980,81
9;3,21986742;18058538,06
10;2,499393535;18055891,77
11;2,528036118;16062550,33
12;2,539810205;18641135,98
13;2,514422774;18289570,61
14;3,292132592;18397274,39
15;2,611961699;18413536,12
16;2,549152756;18136623,25
17;2,609874845;18048989,98
18;3,362205625;15646074,91
19;3,421564341;17202809,28
20;3,478033113;18207772,96
21;5,479199886;16238459,59
22;2,669503713;25880307,05
23;2,62854116;18094071,8
24;3,399673986;19088286,1
25;2,852996707;19376582,37
26;3,47645607;18145023,25
27;3,500430512;18352834,53
28;2,682214856;19502129,34
29;3,53230195;18356572,26
30;3,626451278;18792970,29
31;3,554663563;18370481,73
32;2,788180399;18221993,7
33;3,625005841;19152220,14
34;3,529920244;19625451,64
35;2,784747219;15484141,38
36;2,765599537;16772721,55
37;2,652267861;19377136,65
38;2,731155705;18644489,28
39;3,549109125;19018695,72
40;2,758167744;17513993,56
41;3,559688997;17768065,86
42;2,750016522;19209503,93
43;2,764123464;18307804,2
44;3,602273965;19345739,95
45;2,793148184;18167101,38
46;2,886921215;17745951,44
47;2,821925807;16834333,94
48;2,775766182;17052344,63
49;3,563532352;18980907,05
50;2,769519281;19979882,11
51;2,78688643;19795542
52;2,814263988;18563031,88
53;3,607040858;18568343,05
54;2,782813549;18428708,49
55;2,843105364;17048957,93
56;3,675758767;18918735,16
57;2,78080821;15086995,15
58;2,932353687;20557263,48
59;2,780995727;20106838,38
60;2,922134566;21511274,61
61;3,580931163;21245551,2
62;2,929573202;17141993,61
63;3,573974657;16840182,62
64;3,590175939;17768584,51
65;3,590909791;16187229,96
66;3,614879608;21877540,05
67;2,672755313;25826144,86
68;2,762488937;19503649,51
69;3,594735241;16089774,78
70;2,757861018;15785997,87
71;4,824494338;18163780,06
72;2,89817903;15867712,76
73;2,779698801;16514167,46
74;2,751980495;14670452,25
75;2,786802387;14620926,32
76;2,654880786;18995004,28
77;3,527605677;17001534,33
78;2,740609431;20366842,25
79;3,568121743;20310762,91
80;2,218232298;18147739,84
81;3,386377668;22878268,64
82;2,365179873;23633263,08
83;2,217511201;22484214,24
84;2,416538715;16553713,44
85;2,342326355;23747867,43
86;2,381238246;23758608,85
87;3,085900903;22416657,46
88;2,50035677;20653552
89;2,413449049;25574563,26
90;2,447505713;19216557,8
91;3,808794832;21991769,12
92;2,568520021;27747493,72
93;3,281637359;23714679,34
94;2,621572709;21191549,72
95;2,647348475;21427926,77
96;3,396247602;17751791,95
97;2,785628366;15690997,54
98;4,101414204;24266663,88
99;3,532253361;22801031,23
100;2,702458954;19960742,89
101;2,715516043;18217283,13
102;3,507960939;17355663,29
103;2,716064954;17982165,64
104;2,800940013;17917807,11
105;2,688287997;26793101,98
106;2,677261782;24265942
107;2,700863791;26346326,98
108;2,805762935;17084260,41
109;3,624332833;23333418,7
110;2,748514366;18625662,7
111;3,658166623;17721849,37
112;3,617355633;21742651,78
113;2,805162573;17388548,25
114;2,748531342;25881091,31
115;2,815867376;19333701,91
116;3,652958059;23002542,22
117;2,683823609;18286026,84
118;2,732123661;26048539,86
119;2,738569808;20262070,79
120;2,728976989;23758362,86
121;3,606119013;14040465,53
122;2,840761161;23019852,54
123;2,926949406;21974510,01
124;2,97432754;17265570,77
125;2,810664368;20898903,49
126;2,818635845;18369115,09
127;2,700039315;24083851,2
128;3,60916791;17406878,79
129;4,119494104;18811039,5
130;2,693913603;22773798,48
131;3,648932981;22722161,83
132;3,037229395;17379062,08
133;2,759348941;20433725,04
134;4,046513534;20914648,03
135;2,816593909;16333822,77
