ID_LOTE,TIPO_SIEMBRA,SEM_TRATADAS,MATERIAL_GENETICO,CULT_ANT,DRENAJE,METODO_COSECHA,ALMACENAMIENTO_FINCA,DIAS_EN_EMERGER,DIAS_EN_EMERGER_A_FLORECER,DIAS_EN_FLORECER_A_COSECHAR,POBLACION_20DIAS_AJT,ALTURA_LOT,ContEnfQui_Emer_Flor,ContEnfQui_Flor_Cose,ContMalMec_Siem_Emer,ContMalMec_Emer_Flor,ContMalMec_Flor_Cose,ContMalQui_Antes_Siem,ContMalQui_Siem_Emer,ContMalQui_Emer_Flor,ContMalQui_Flor_Cose,ContPlaQui_Antes_Siem,ContPlaQui_Siem_Emer,ContPlaQui_Emer_Flor,ContPlaQui_Flor_Cose,TotN_Antes_Siem,TotN_Siem_Emer,TotN_Emer_Flor,TotP_Antes_Siem,TotP_Siem_Emer,TotP_Emer_Flor,TotK_Antes_Siem,TotK_Siem_Emer,TotK_Emer_Flor,FerOrg_Emer_Flor,FerQui_Antes_Siem,FerQui_Siem_Emer,FerQui_Emer_Flor,PENDIENTE_RASTA,TERRENO_CIRCUN_RASTA,POSICION_PERFIL_RASTA,NO_CAPAS_RASTA,PH_RASTA,PEDREG_PERFIL_ROCAS,CAP_ENDURE_RASTA,PROFUND_CAP_ENDURE_RASTA,ESPESOR_CAP_ENDURE_RASTA,MOTEADOS_RASTA,PROFUND_MOTEADOS_RASTA,MOTEADOS_MAS70cm_RASTA,ESTRUCTURA_RASTA,OBSERVA_EROSION_RASTA,OBSERVA_MOHO_RASTA,OBSERVA_COSTRAS_DURAS_RASTA,SITIO_EXPUESTO_SOL_RASTA,OBSERVA_COSTRAS_BLANCAS_RASTA,OBSERVA_COSTAS_NEGRAS_RASTA,REGION_SECA_ARIDA_RASTA,OBSERVA_RAICES_VIVAS_RASTA,PROFUND_RAICES_VIVAS_RASTA,OBSERVA_PLANTAS_PEQUENAS_RASTA,OBSERVA_HOJARASCA_MO_RASTA,SUELO_NEGRO_BLANDO_RASTA,CUCHILLO_PRIMER_HTE_RASTA,CERCA_RIOS_QUEBRADAS_RASTA,RECUBRIMIENTO_VEGETAL_SUELO_RASTA,prof_efectiva,d_interno,drenaje_externo,Porc_A,Porc_Ar,Porc_ArA,Porc_ArL,Porc_FrL,Porc_L,Porc_F,porc_x,porc_y,Porc_AF,Porc_BLANDO,Porc_DURO,Porc_EXT_DURO,Porc_FRIABLE,Porc_FIRME,Porc_EXT_FIRME,Porc_PLASTICO,Porc_MUY_PLASTICO,Temp_Max_Avg_Veg,Temp_Min_Avg_Veg,Temp_Avg_Veg,Diurnal_Range_Avg_Veg,Sol_Ener_Accu_Veg,Temp_Max_34_Freq_Veg,Rain_Accu_Veg,Rain_10_Freq_Veg,Rhum_Avg_Veg,Temp_Max_Avg_For,Temp_Min_Avg_For,Temp_Avg_For,Diurnal_Range_Avg_For,Sol_Ener_Accu_For,Temp_Max_34_Freq_For,Rain_Accu_For,Rain_10_Freq_For,Rhum_Avg_For,Temp_Max_Avg_Mad,Temp_Min_Avg_Mad,Temp_Avg_Mad,Diurnal_Range_Avg_Mad,Sol_Ener_Accu_Mad,Temp_Max_34_Freq_Mad,Rain_Accu_Mad,Rain_10_Freq_Mad,Rhum_Avg_Mad,RDT_AJUSTADO
1910,Manual,NO,Otro,Algodon,SI,Manual,SI,5,46,74,73000,18,0,0,0,0,0,0,1,0,0,0,1,5,0,0,0,57.5,0,0,0,0,0,0,0,0,0,1,4,PLANO O LLANO,PLANO,2,6,SIN ROCAS,NO,-1,-1,NO,-1,NO,GRANULAR,NO,NO,NO HAY,LA MANIANA Y LA TARDE,NO HAY,NO HAY,NO,SI,34,PLANTAS NORMALES,NO,NO,SI,NO,ESPACIADO,60,BUENO,LENTO,0,0,0,0,0,0,0,61.67,38.33,0,0,0,0,100,0,0,0,0,33.83,24.73,29.28,9.1,15505.82,0.42,118.3,0.08,79.27,33.99,24.42,29.2,9.57,22471.86,0.48,306.2,0.19,80.25,33.41,24.48,28.94,8.94,10617.2,0.36,54.8,0.07,82.21,4576.74
1977,Mecanizado,SI,P3966 (Pioneer),Algodon,SI,Manual,SI,5,45,98,60000,10,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,92,0,0,0,0,0,90,0,0,0,3,1,PLANO O LLANO,PLANO,2,5,SIN ROCAS,NO,-1,-1,NO,-1,NO,ATERRONADA,NO,NO,POCO MARCADAS,LA MANIANA Y LA TARDE,NO HAY,NO HAY,NO,SI,35,PLANTAS NORMALES,NO,NO,SI,SI,MUY BUENO,60,BUENO,NINGUNO,0,0,0,0,58.33,41.67,0,0,0,0,0,100,0,0,0,0,0,0,33.99,24.71,29.35,9.28,15239.28,0.6,189.1,0.15,79.5,34.26,24.68,29.47,9.59,22480.59,0.5,253.4,0.14,78.98,33.72,24.51,29.12,9.21,19483.4,0.43,142.1,0.12,81.22,4465.12
2006,Mecanizado,NO,P4082 (Pioneer),Algodon,SI,Manual,SI,5,48,78,72000,17,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,92,0,0,0,0,0,60,0,0,0,4,4,PLANO O LLANO,PLANO,2,5.5,SIN ROCAS,NO,-1,-1,NO,-1,NO,GRANULAR,NO,NO,NO HAY,LA MANIANA Y LA TARDE,NO HAY,NO HAY,NO,SI,24,PLANTAS NORMALES,NO,NO,SI,NO,ESPACIADO,60,BUENO,LENTO,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,33.22,24.32,28.77,8.9,14930.25,0.35,181.3,0.12,80.62,34.39,24.58,29.49,9.82,22703.7,0.55,272.6,0.16,79.3,33.34,24.47,28.91,8.87,12858.1,0.32,88.6,0.12,82.18,4991.86
2093,Mecanizado,SI,Otro,Algodon,SI,Manual,SI,5,45,79,71000,18,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,92,0,0,0,0,0,30,0,0,0,3,5,PLANO O LLANO,PLANO,2,6,SIN ROCAS,NO,-1,-1,NO,-1,NO,GRANULAR,NO,NO,NO HAY,LA MANIANA Y LA TARDE,NO HAY,NO HAY,NO,SI,31,PLANTAS NORMALES,NO,NO,SI,NO,ESPACIADO,60,BUENO,LENTO,0,0,0,0,0,0,0,56.67,43.33,0,0,0,0,100,0,0,0,0,33.22,24.32,28.77,8.9,14930.25,0.35,181.3,0.12,80.62,34.39,24.58,29.49,9.82,22703.7,0.55,272.6,0.16,79.3,33.31,24.41,28.86,8.9,12072.78,0.31,88.6,0.12,82.19,4672.09
2096,Mecanizado,NO,Otro,Algodon,SI,Manual,SI,5,46,75,70000,18,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,161,0,0,0,0,0,0,0,0,0,3,4,PLANO O LLANO,PLANO,2,5.5,SIN ROCAS,NO,-1,-1,NO,-1,NO,GRANULAR,NO,NO,NO HAY,LA MANIANA Y LA TARDE,NO HAY,NO HAY,NO,SI,33,PLANTAS NORMALES,NO,NO,SI,NO,ESPACIADO,60,BUENO,LENTO,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,33.36,24.43,28.9,8.93,15294.89,0.35,145.1,0.1,80.39,34.24,24.49,29.37,9.76,22731.08,0.52,272.6,0.16,79.59,33.28,24.55,28.91,8.73,10746.67,0.34,88.6,0.14,82.31,4576.74
2174,Mecanizado,NO,DK 234,Maiz,SI,Manual,SI,5,77,49,60000,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,46,0,0,0,0,0,30,0,0,0,2,1,PLANO O LLANO,PLANO,1,4.5,SIN ROCAS,NO,-1,-1,NO,-1,NO,GRANULAR,NO,NO,NO HAY,LA MANIANA Y LA TARDE,NO HAY,NO HAY,NO,SI,34,PLANTAS NORMALES,NO,NO,SI,NO,BUENO,50,BUENO,NINGUNO,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,33.84,24.68,29.25,9.16,15328.78,0.55,191.8,0.15,80.22,34.28,24.69,29.49,9.58,22473.5,0.52,258.5,0.14,79.12,33.64,24.34,28.99,9.3,13056,0.38,118.1,0.18,81.01,4767.44
2262,Mecanizado,SI,PAC 105,Algodon,SI,Manual,SI,5,47,77,60000,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,184,0,0,0,0,0,150,0,0,0,4,1,PLANO O LLANO,PLANO,2,6,SIN ROCAS,NO,-1,-1,NO,-1,NO,GRANULAR,NO,NO,NO HAY,LA MANIANA Y LA TARDE,NO HAY,NO HAY,NO,SI,27,PLANTAS NORMALES,NO,NO,SI,NO,BUENO,45,BUENO,NINGUNO,0,0,0,0,0,0,66.67,33.33,0,0,0,0,0,100,0,0,0,0,34.37,24.89,29.63,9.48,15771.34,0.52,98.2,0.05,77.97,33.68,24.32,29,9.36,22303.83,0.41,317.6,0.21,81.01,33.35,24.57,28.96,8.78,12089.89,0.41,74.7,0.06,82.69,3906.98
2265,Mecanizado,SI,DK 234,Algodon,SI,Manual,SI,4,46,77,66000,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,0,0,0,0,0,120,0,0,0,4,1,PLANO O LLANO,PLANO,1,5,SIN ROCAS,SI,30,10,NO,-1,NO,ATERRONADA,NO,NO,NO HAY,LA MANIANA Y LA TARDE,NO HAY,NO HAY,NO,SI,25,POCO AFECTADAS,NO,NO,SI,NO,REGULAR,30,BUENO,NINGUNO,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,33.33,24.45,28.89,8.88,14920.64,0.42,165.5,0.12,80.83,34.64,24.87,29.75,9.77,22906.79,0.62,260.5,0.14,78.57,33.38,24.14,28.76,9.24,11411.2,0.27,116.8,0.2,81.78,2604.65
2340,Mecanizado,SI,Otro,Algodon,SI,Manual,NO,5,46,79,71000,16,2,0,0,0,0,0,2,2,0,0,1,2,0,0,0,69,0,0,15,0,0,38,0,0,0,6,4,PLANO O LLANO,PLANO,2,5.5,SIN ROCAS,NO,-1,-1,NO,-1,NO,GRANULAR,NO,NO,NO HAY,LA MANIANA Y LA TARDE,NO HAY,NO HAY,NO,SI,20,PLANTAS NORMALES,NO,NO,NO,NO,ESPACIADO,60,BUENO,LENTO,0,0,0,0,0,0,0,100,0,0,58.33,41.67,0,0,0,0,0,0,34.22,24.82,29.52,9.4,15785.73,0.5,98.2,0.05,78.29,33.78,24.32,29.05,9.46,22356.15,0.43,306.6,0.19,80.77,33.5,24.64,29.07,8.86,12539.89,0.42,85.7,0.09,82.42,5804.65
2360,Mecanizado,SI,Otro,Algodon,SI,Manual,SI,5,48,79,71000,16,1,0,0,0,0,0,2,1,0,0,1,1,0,0,0,92,0,0,0,0,0,60,0,0,0,4,4,PLANO O LLANO,PLANO,2,5.5,SIN ROCAS,NO,-1,-1,NO,-1,NO,GRANULAR,NO,NO,NO HAY,LA MANIANA Y LA TARDE,NO HAY,NO HAY,NO,SI,23,PLANTAS NORMALES,NO,NO,SI,NO,ESPACIADO,60,BUENO,LENTO,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,33.32,24.36,28.84,8.96,14658.39,0.4,198.3,0.15,80.7,34.56,24.82,29.69,9.74,22774.85,0.6,227.2,0.12,78.69,33.55,24.32,28.94,9.23,13408.14,0.34,122.6,0.17,81.53,5511.63
