,0
0,DIAS_EN_EMERGER
1,DIAS_EN_EMERGER_A_FLORECER
2,DIAS_EN_FLORECER_A_COSECHAR
3,POBLACION_20DIAS_AJT
4,ALTURA_LOT
5,ContEnfQui_Emer_Flor
6,ContEnfQui_Flor_Cose
7,ContMalMec_Siem_Emer
8,ContMalMec_Emer_Flor
9,ContMalMec_Flor_Cose
10,ContMalQui_Antes_Siem
11,ContMalQui_Siem_Emer
12,ContMalQui_Emer_Flor
13,ContMalQui_Flor_Cose
14,ContPlaQui_Antes_Siem
15,ContPlaQui_Siem_Emer
16,ContPlaQui_Emer_Flor
17,ContPlaQui_Flor_Cose
18,TotN_Antes_Siem
19,TotN_Siem_Emer
20,TotN_Emer_Flor
21,TotP_Antes_Siem
22,TotP_Siem_Emer
23,TotP_Emer_Flor
24,TotK_Antes_Siem
25,TotK_Siem_Emer
26,TotK_Emer_Flor
27,FerOrg_Emer_Flor
28,FerQui_Antes_Siem
29,FerQui_Siem_Emer
30,FerQui_Emer_Flor
31,PENDIENTE_RASTA
32,NO_CAPAS_RASTA
33,PH_RASTA
34,PROFUND_CAP_ENDURE_RASTA
35,ESPESOR_CAP_ENDURE_RASTA
36,PROFUND_MOTEADOS_RASTA
37,PROFUND_RAICES_VIVAS_RASTA
38,prof_efectiva
39,Porc_A
40,Porc_Ar
41,Porc_ArA
42,Porc_ArL
43,Porc_FrL
44,Porc_L
45,Porc_F
46,porc_x
47,porc_y
48,Porc_AF
49,Porc_BLANDO
50,Porc_DURO
51,Porc_EXT_DURO
52,Porc_FRIABLE
53,Porc_FIRME
54,Porc_EXT_FIRME
55,Porc_PLASTICO
56,Porc_MUY_PLASTICO
57,Temp_Max_Avg_Veg
58,Temp_Min_Avg_Veg
59,Temp_Avg_Veg
60,Diurnal_Range_Avg_Veg
61,Sol_Ener_Accu_Veg
62,Temp_Max_34_Freq_Veg
63,Rain_Accu_Veg
64,Rain_10_Freq_Veg
65,Rhum_Avg_Veg
66,Temp_Max_Avg_For
67,Temp_Min_Avg_For
68,Temp_Avg_For
69,Diurnal_Range_Avg_For
70,Sol_Ener_Accu_For
71,Temp_Max_34_Freq_For
72,Rain_Accu_For
73,Rain_10_Freq_For
74,Rhum_Avg_For
75,Temp_Max_Avg_Mad
76,Temp_Min_Avg_Mad
77,Temp_Avg_Mad
78,Diurnal_Range_Avg_Mad
79,Sol_Ener_Accu_Mad
80,Temp_Max_34_Freq_Mad
81,Rain_Accu_Mad
82,Rain_10_Freq_Mad
83,Rhum_Avg_Mad
84,TIPO_SIEMBRA_Manual
85,TIPO_SIEMBRA_Mecanizado
86,MATERIAL_GENETICO_ADV 9293 (Syngenta)
87,MATERIAL_GENETICO_ADV 9339 (Syngenta)
88,MATERIAL_GENETICO_CORPOICA V 114
89,MATERIAL_GENETICO_Cerato (Syngenta)
90,MATERIAL_GENETICO_DK 1040
91,MATERIAL_GENETICO_DK 1596
92,MATERIAL_GENETICO_DK 234
93,MATERIAL_GENETICO_DK 234 YGRR
94,MATERIAL_GENETICO_DK7088
95,MATERIAL_GENETICO_FNC 114
96,MATERIAL_GENETICO_FNC 3056
97,MATERIAL_GENETICO_ICA V 109
98,MATERIAL_GENETICO_ICA V 156
99,MATERIAL_GENETICO_ICA V 305
100,MATERIAL_GENETICO_Impacto (Syngenta)
101,MATERIAL_GENETICO_NK254 (Syngenta)
102,MATERIAL_GENETICO_Otro
103,MATERIAL_GENETICO_P3966 (Pioneer)
104,MATERIAL_GENETICO_P4082 (Pioneer)
105,MATERIAL_GENETICO_PAC 105
106,MATERIAL_GENETICO_PIONEER 30F32
107,MATERIAL_GENETICO_PIONEER 30F32HW
108,MATERIAL_GENETICO_PIONEER 30F35
109,MATERIAL_GENETICO_PIONEER 30F35 H
110,MATERIAL_GENETICO_PIONEER 30F35 HRR
111,MATERIAL_GENETICO_Sinko (Syngenta)
112,MATERIAL_GENETICO_Status (Syngenta)
113,CULT_ANT_Algodon
114,CULT_ANT_Frijol
115,CULT_ANT_Maiz
116,CULT_ANT_Pastos
117,CULT_ANT_Yuca
118,METODO_COSECHA_Manual
119,METODO_COSECHA_Mecanizada
120,TERRENO_CIRCUN_RASTA_ONDULADO
121,TERRENO_CIRCUN_RASTA_ONDULADO Y MONTANIOSO
122,TERRENO_CIRCUN_RASTA_PLANO O LLANO
123,POSICION_PERFIL_RASTA_LADERA CONCAVA
124,POSICION_PERFIL_RASTA_LADERA CONVEXA
125,POSICION_PERFIL_RASTA_LADERA PLANA
126,POSICION_PERFIL_RASTA_PIE DE UNA ELEVACION
127,POSICION_PERFIL_RASTA_PLANO
