ID_LOTE,TIPO_SIEMBRA,SEM_TRATADAS,MATERIAL_GENETICO,CULT_ANT,DRENAJE,METODO_COSECHA,ALMACENAMIENTO_FINCA,DIAS_EN_EMERGER,DIAS_EN_EMERGER_A_FLORECER,DIAS_EN_FLORECER_A_COSECHAR,POBLACION_20DIAS_AJT,ALTURA_LOT,ContEnfQui_Emer_Flor,ContEnfQui_Flor_Cose,ContMalMec_Siem_Emer,ContMalMec_Emer_Flor,ContMalMec_Flor_Cose,ContMalQui_Antes_Siem,ContMalQui_Siem_Emer,ContMalQui_Emer_Flor,ContMalQui_Flor_Cose,ContPlaQui_Antes_Siem,ContPlaQui_Siem_Emer,ContPlaQui_Emer_Flor,ContPlaQui_Flor_Cose,TotN_Antes_Siem,TotN_Siem_Emer,TotN_Emer_Flor,TotP_Antes_Siem,TotP_Siem_Emer,TotP_Emer_Flor,TotK_Antes_Siem,TotK_Siem_Emer,TotK_Emer_Flor,FerOrg_Emer_Flor,FerQui_Antes_Siem,FerQui_Siem_Emer,FerQui_Emer_Flor,PENDIENTE_RASTA,TERRENO_CIRCUN_RASTA,POSICION_PERFIL_RASTA,NO_CAPAS_RASTA,PH_RASTA,PEDREG_PERFIL_ROCAS,CAP_ENDURE_RASTA,PROFUND_CAP_ENDURE_RASTA,ESPESOR_CAP_ENDURE_RASTA,MOTEADOS_RASTA,PROFUND_MOTEADOS_RASTA,MOTEADOS_MAS70cm_RASTA,ESTRUCTURA_RASTA,OBSERVA_EROSION_RASTA,OBSERVA_MOHO_RASTA,OBSERVA_COSTRAS_DURAS_RASTA,SITIO_EXPUESTO_SOL_RASTA,OBSERVA_COSTRAS_BLANCAS_RASTA,OBSERVA_COSTAS_NEGRAS_RASTA,REGION_SECA_ARIDA_RASTA,OBSERVA_RAICES_VIVAS_RASTA,PROFUND_RAICES_VIVAS_RASTA,OBSERVA_PLANTAS_PEQUENAS_RASTA,OBSERVA_HOJARASCA_MO_RASTA,SUELO_NEGRO_BLANDO_RASTA,CUCHILLO_PRIMER_HTE_RASTA,CERCA_RIOS_QUEBRADAS_RASTA,RECUBRIMIENTO_VEGETAL_SUELO_RASTA,prof_efectiva,d_interno,drenaje_externo,Porc_A,Porc_Ar,Porc_ArA,Porc_ArL,Porc_FrL,Porc_L,Porc_F,porc_x,porc_y,Porc_AF,Porc_BLANDO,Porc_DURO,Porc_EXT_DURO,Porc_FRIABLE,Porc_FIRME,Porc_EXT_FIRME,Porc_PLASTICO,Porc_MUY_PLASTICO,Temp_Max_Avg_Veg,Temp_Min_Avg_Veg,Temp_Avg_Veg,Diurnal_Range_Avg_Veg,Sol_Ener_Accu_Veg,Temp_Max_34_Freq_Veg,Rain_Accu_Veg,Rain_10_Freq_Veg,Rhum_Avg_Veg,Temp_Max_Avg_For,Temp_Min_Avg_For,Temp_Avg_For,Diurnal_Range_Avg_For,Sol_Ener_Accu_For,Temp_Max_34_Freq_For,Rain_Accu_For,Rain_10_Freq_For,Rhum_Avg_For,Temp_Max_Avg_Mad,Temp_Min_Avg_Mad,Temp_Avg_Mad,Diurnal_Range_Avg_Mad,Sol_Ener_Accu_Mad,Temp_Max_34_Freq_Mad,Rain_Accu_Mad,Rain_10_Freq_Mad,Rhum_Avg_Mad,RDT_AJUSTADO
3734,Mecanizado,SI,DK 234,Algodon,NO,Manual,NO,5,49,84,65000,7,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0,0.0,92.0,0,0.0,0.0,0,0.0,0.0,0,0,0,2,1.0,PLANO O LLANO,PLANO,2,5.5,SIN ROCAS,NO,-1,-1.0,SI,20,NO,GRANULAR,NO,NO,NO HAY,LA MANIANA Y LA TARDE,NO HAY,NO HAY,NO,SI,21,PLANTAS NORMALES,NO,NO,SI,SI,REGULAR,21,LENTO A MUY LENTO,NINGUNO,0,28.33,0.0,0.0,0.0,0.0,0.0,71.67,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.84,23.88,28.36,8.96,16278.39,0.25,266.6,0.2,84.38,32.65,23.32,27.99,9.33,23852.62,0.21,293.9,0.17,83.33,31.85,23.25,27.55,8.6,16594.77,0.0,58.7,0.02,82.87,5148.84
479,Mecanizado,NO,Otro,Maiz,SI,Manual,SI,6,45,70,60000,12,0,0,0,0,0,0,0,3,0,0,0,1,0,0.0,0.0,69.0,0,0.0,0.0,0,0.0,0.0,0,0,0,3,1.0,PLANO O LLANO,PLANO,2,5.5,SIN ROCAS,NO,-1,-1.0,NO,-1,NO,MASIVA,NO,NO,NO HAY,LA MANIANA Y LA TARDE,NO HAY,NO HAY,SI,SI,43,PLANTAS NORMALES,NO,NO,SI,NO,REGULAR,43,BUENO,NINGUNO,0,16.67,29.17,20.83,0.0,8.33,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,66.67,8.33,25.0,0.0,32.27,23.78,28.02,8.49,14142.87,0.0,132.5,0.12,81.85,32.71,23.69,28.2,9.02,22838.14,0.05,102.8,0.05,79.79,32.95,23.15,28.05,9.8,10574.79,0.08,6.4,0.0,74.62,3581.4
1889,Mecanizado,NO,DK 234,Algodon,NO,Manual,NO,4,50,76,60000,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,46.0,0,0.0,0.0,0,0.0,0.0,0,0,0,1,1.0,PLANO O LLANO,PLANO,2,6.5,SIN ROCAS,NO,-1,-1.0,SI,26,NO,ATERRONADA,NO,NO,NO HAY,LA MANIANA Y LA TARDE,NO HAY,NO HAY,NO,SI,35,POCO AFECTADAS,SI,NO,SI,NO,REGULAR,35,LENTO A MUY LENTO,NINGUNO,0,0.0,0.0,0.0,0.0,0.0,60.0,40.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.38,23.86,29.12,10.52,15896.17,0.5,135.3,0.12,80.15,32.87,23.79,28.33,9.09,22756.15,0.22,398.4,0.21,86.57,32.44,24.26,28.35,8.18,12720.79,0.03,207.5,0.24,86.4,1811.63
3698,Mecanizado,SI,Otro,Maiz,SI,Mecanizada,NO,5,47,80,80000,12,0,1,0,0,0,2,0,2,0,1,0,1,2,0.0,15.0,92.0,0,15.0,0.0,0,15.0,30.0,0,0,1,3,3.0,PLANO O LLANO,PLANO,3,6.5,SIN ROCAS,NO,-1,-1.0,SI,45,NO,GRANULAR,NO,NO,NO HAY,LA MANIANA Y LA TARDE,NO HAY,NO HAY,NO,SI,33,PLANTAS NORMALES,SI,NO,SI,SI,BUENO,45,LENTO A MUY LENTO,LENTO,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,33.2,24.36,28.78,8.84,15270.45,0.4,394.0,0.25,80.17,33.26,23.72,28.49,9.54,23140.46,0.26,246.5,0.16,78.79,32.38,22.5,27.44,9.88,14237.55,0.06,151.7,0.14,79.36,6046.51
1819,Mecanizado,SI,P4082 (Pioneer),Algodon,SI,Mecanizada,NO,5,46,76,76000,17,0,1,0,0,0,2,0,2,0,1,0,3,2,0.0,0.0,9.0,0,0.0,23.0,0,0.0,60.0,0,0,0,3,4.0,PLANO O LLANO,PLANO,2,5.0,SIN ROCAS,NO,-1,-1.0,NO,-1,NO,GRANULAR,NO,NO,NO HAY,LA MANIANA Y LA TARDE,NO HAY,NO HAY,NO,SI,23,PLANTAS NORMALES,SI,NO,SI,NO,ESPACIADO,60,BUENO,LENTO,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,55.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,33.56,24.56,29.06,9.0,15314.59,0.38,145.1,0.1,79.89,34.19,24.47,29.33,9.72,22685.08,0.52,282.9,0.17,79.87,33.31,24.51,28.91,8.8,11233.79,0.33,78.3,0.1,82.23,6511.63
4256,Mecanizado,NO,Otro,Algodon,SI,Mecanizada,NO,5,50,85,60000,17,0,0,0,0,0,0,0,1,0,0,0,2,0,0.0,0.0,76.0,0,0.0,30.0,0,0.0,30.0,0,0,0,2,2.0,PLANO O LLANO,PLANO,2,6.0,SIN ROCAS,NO,-1,-1.0,NO,-1,NO,MASIVA,NO,NO,NO HAY,LA MANIANA Y LA TARDE,NO HAY,NO HAY,NO,SI,20,PLANTAS NORMALES,NO,NO,SI,NO,BUENO,20,BUENO,NINGUNO,0,65.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,65.0,0.0,0.0,0.0,32.94,24.09,28.51,8.85,15010.44,0.35,409.4,0.28,80.36,33.23,23.53,28.38,9.7,23864.03,0.21,249.3,0.17,78.59,32.22,22.79,27.51,9.43,16567.78,0.02,318.6,0.21,80.04,6197.67
1897,Mecanizado,NO,DK 234,Algodon,NO,Manual,NO,4,48,80,60000,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,92.0,0,0.0,0.0,0,0.0,0.0,0,0,0,2,1.0,PLANO O LLANO,PLANO,2,5.5,SIN ROCAS,NO,-1,-1.0,SI,12,NO,GRANULAR,NO,NO,NO HAY,LA MANIANA Y LA TARDE,NO HAY,NO HAY,NO,SI,14,MUY AFECTADAS,NO,NO,SI,NO,BUENO,14,LENTO A MUY LENTO,NINGUNO,0,0.0,0.0,0.0,16.67,0.0,83.33,0.0,0.0,0.0,83.33,16.67,0.0,0.0,0.0,0.0,0.0,0.0,34.28,23.9,29.09,10.39,15633.48,0.48,160.3,0.15,80.48,32.99,23.73,28.36,9.25,22941.95,0.26,389.2,0.21,86.37,32.46,24.28,28.37,8.18,13674.41,0.03,216.7,0.23,86.25,2883.72
4326,Mecanizado,NO,Otro,Algodon,SI,Mecanizada,NO,6,48,85,76000,16,0,0,0,0,0,0,0,1,0,0,0,2,0,0.0,0.0,92.0,0,0.0,0.0,0,0.0,30.0,0,0,0,3,4.0,PLANO O LLANO,PLANO,2,6.0,SIN ROCAS,NO,-1,-1.0,NO,-1,NO,ATERRONADA,NO,NO,NO HAY,LA MANIANA Y LA TARDE,NO HAY,NO HAY,NO,SI,19,PLANTAS NORMALES,NO,NO,SI,NO,BUENO,60,BUENO,LENTO,0,60.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,40.0,60.0,0.0,0.0,0.0,33.11,24.18,28.64,8.93,15207.06,0.38,426.4,0.28,80.0,33.34,23.66,28.5,9.68,23722.32,0.26,214.1,0.14,78.51,32.1,22.59,27.34,9.52,16288.59,0.02,283.3,0.19,80.07,7817.44
1936,Mecanizado,SI,DK7088,Algodon,SI,Mecanizada,NO,4,80,46,62000,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0,0.0,92.0,0,0.0,0.0,0,0.0,0.0,0,0,0,2,1.0,PLANO O LLANO,PLANO,2,5.5,SIN ROCAS,SI,22,38.0,SI,23,NO,GRANULAR,NO,NO,NO HAY,LA MANIANA Y LA TARDE,NO HAY,NO HAY,NO,SI,22,PLANTAS NORMALES,NO,NO,SI,NO,REGULAR,22,LENTO A MUY LENTO,NINGUNO,0,0.0,0.0,0.0,0.0,0.0,63.33,36.67,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.99,23.82,28.9,10.17,15018.07,0.42,182.9,0.18,80.72,33.16,23.74,28.45,9.42,23451.77,0.29,389.2,0.21,86.12,32.48,24.27,28.38,8.22,12825.37,0.03,170.7,0.18,85.99,3013.95
3733,Manual,SI,DK 234,Maiz,NO,Manual,NO,4,46,81,62000,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,92.0,0,0.0,0.0,0,0.0,0.0,0,0,0,2,1.0,PLANO O LLANO,PLANO,2,6.0,SIN ROCAS,NO,-1,-1.0,SI,30,NO,GRANULAR,NO,NO,NO HAY,LA MANIANA Y LA TARDE,NO HAY,NO HAY,NO,SI,28,PLANTAS NORMALES,NO,NO,SI,SI,REGULAR,30,LENTO A MUY LENTO,NINGUNO,0,0.0,0.0,0.0,0.0,0.0,0.0,46.67,53.33,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.7,23.86,28.29,8.84,16049.11,0.22,266.6,0.2,84.56,32.73,23.3,28.01,9.43,24076.29,0.21,293.9,0.17,83.21,31.81,23.19,27.5,8.62,13737.14,0.0,55.0,0.03,82.9,5434.88
