iter	Passed	Remaining
0	114	114550
1	234	116907
2	310	103216
3	408	101640
4	480	95676
5	561	93068
6	647	91854
7	731	90719
8	835	91973
9	940	93071
10	1001	90019
11	1065	87709
12	1155	87739
13	1264	89022
14	1346	88404
15	1420	87376
16	1543	89272
17	1632	89053
18	1683	86902
19	1746	85560
20	1812	84476
21	1874	83335
22	1938	82344
23	2002	81447
24	2121	82750
25	2207	82686
26	2296	82766
27	2409	83631
28	2507	83959
29	2638	85298
30	2703	84519
31	2801	84741
32	2902	85040
33	2981	84709
34	3099	85451
35	3177	85075
36	3271	85134
37	3348	84766
38	3390	83556
39	3486	83680
40	3621	84718
41	3693	84238
42	3740	83237
43	3880	84313
44	3975	84378
45	4069	84406
46	4142	83993
47	4225	83804
48	4326	83977
49	4396	83539
50	4475	83278
51	4563	83193
52	4639	82898
53	4844	84877
54	4913	84430
55	5039	84959
56	5149	85190
57	5196	84404
58	5351	85344
59	5452	85422
60	5544	85346
61	5626	85120
62	5697	84733
63	5753	84138
64	5830	83867
65	5900	83502
66	5958	82970
67	6048	82898
68	6133	82761
69	6217	82607
70	6325	82759
71	6424	82809
72	6548	83151
73	6682	83621
74	6745	83195
75	6835	83103
76	6923	82986
77	7017	82945
78	7114	82944
79	7200	82801
80	7306	82900
81	7490	83857
82	7589	83853
83	7658	83510
84	7745	83373
85	7806	82965
86	7893	82832
87	7959	82487
88	8111	83024
89	8229	83209
90	8341	83323
91	8392	82827
92	8456	82475
93	8513	82051
94	8578	81721
95	8633	81295
96	8690	80899
97	8731	80364
98	8779	79906
99	8836	79529
100	8898	79204
101	8970	78979
102	9032	78664
103	9077	78205
104	9114	77688
105	9163	77285
106	9208	76854
107	9278	76630
108	9325	76232
109	9376	75864
110	9436	75576
111	9483	75193
112	9517	74705
113	9555	74260
114	9590	73803
115	9621	73322
116	9658	72894
117	9698	72489
118	9737	72087
119	9774	71679
120	9816	71310
121	9852	70904
122	9883	70473
123	9916	70052
124	9950	69651
125	9988	69283
126	10035	68984
127	10085	68705
128	10117	68313
129	10155	67966
130	10188	67586
131	10216	67178
132	10262	66898
133	10298	66553
134	10398	66625
135	10478	66566
136	10512	66219
137	10545	65873
138	10596	65639
139	10630	65301
140	10669	65000
141	10708	64705
142	10737	64349
143	10764	63991
144	10792	63637
145	10821	63300
146	10857	63001
147	10884	62659
148	10915	62345
149	10946	62030
150	10980	61739
151	11008	61416
152	11036	61096
153	11070	60813
154	11102	60525
155	11135	60246
156	11170	59981
157	11198	59675
158	11226	59380
159	11260	59116
160	11290	58836
161	11326	58588
162	11355	58310
163	11385	58040
164	11414	57766
165	11442	57489
166	11473	57228
167	11503	56970
168	11532	56706
169	11557	56427
170	11588	56180
171	11635	56014
172	11674	55807
173	11721	55644
174	11754	55413
175	11784	55174
176	11826	54989
177	11855	54749
178	11893	54550
179	11923	54318
180	11974	54180
181	12006	53964
182	12041	53758
183	12083	53588
184	12150	53527
185	12199	53387
186	12257	53290
187	12301	53133
188	12345	52972
189	12398	52858
190	12433	52662
191	12484	52540
192	12514	52328
193	12558	52175
194	12593	51987
195	12631	51815
196	12666	51629
197	12699	51441
198	12782	51450
199	12815	51261
200	12846	51064
201	12884	50901
202	12913	50699
203	12946	50517
204	12975	50318
205	13005	50129
206	13036	49940
207	13061	49733
208	13087	49533
209	13110	49320
210	13131	49104
211	13156	48903
212	13181	48704
