POBLACION_20DIAS_AJT,ContMalQui_Emer_Flor,TotP_Siem_Emer,TotP_Emer_Flor,FerQui_Emer_Flor,PENDIENTE_RASTA,PH_RASTA,PROFUND_RAICES_VIVAS_RASTA,Porc_Ar,Porc_AF,Porc_MUY_PLASTICO,Temp_Min_Avg_Veg,Diurnal_Range_Avg_Veg,Sol_Ener_Accu_Veg,Rain_Accu_Veg,Rhum_Avg_Veg,Temp_Max_Avg_For,Temp_Avg_For,Rhum_Avg_For,Temp_Max_Avg_Mad,Temp_Avg_Mad,MATERIAL_GENETICO_PAC 105,MATERIAL_GENETICO_PIONEER 30F35 HRR,METODO_COSECHA_Manual,METODO_COSECHA_Mecanizada,TERRENO_CIRCUN_RASTA_PLANO O LLANO,POSICION_PERFIL_RASTA_PLANO,OBSERVA_PLANTAS_PEQUENAS_RASTA_MUY AFECTADAS,OBSERVA_PLANTAS_PEQUENAS_RASTA_PLANTAS NORMALES,OBSERVA_PLANTAS_PEQUENAS_RASTA_POCO AFECTADAS,RDT_AJUSTADO
73000,0,0,0,1,4,6,34,0,0,0,24.73,9.1,15505.82,118.3,79.27,33.99,29.2,80.25,33.41,28.94,0,0,1,0,1,1,0,1,0,4576.74
60000,0,0,0,3,1,5,35,0,0,0,24.71,9.28,15239.28,189.1,79.5,34.26,29.47,78.98,33.72,29.12,0,0,1,0,1,1,0,1,0,4465.12
72000,1,0,0,4,4,5.5,24,0,0,0,24.32,8.9,14930.25,181.3,80.62,34.39,29.49,79.3,33.34,28.91,0,0,1,0,1,1,0,1,0,4991.86
71000,0,0,0,3,5,6,31,0,0,0,24.32,8.9,14930.25,181.3,80.62,34.39,29.49,79.3,33.31,28.86,0,0,1,0,1,1,0,1,0,4672.09
70000,1,0,0,3,4,5.5,33,0,0,0,24.43,8.93,15294.89,145.1,80.39,34.24,29.37,79.59,33.28,28.91,0,0,1,0,1,1,0,1,0,4576.74
60000,0,0,0,2,1,4.5,34,0,0,0,24.68,9.16,15328.78,191.8,80.22,34.28,29.49,79.12,33.64,28.99,0,0,1,0,1,1,0,1,0,4767.44
60000,0,0,0,4,1,6,27,0,0,0,24.89,9.48,15771.34,98.2,77.97,33.68,29,81.01,33.35,28.96,1,0,1,0,1,1,0,1,0,3906.98
66000,0,0,0,4,1,5,25,0,0,0,24.45,8.88,14920.64,165.5,80.83,34.64,29.75,78.57,33.38,28.76,0,0,1,0,1,1,0,0,1,2604.65
71000,2,0,15,6,4,5.5,20,0,0,0,24.82,9.4,15785.73,98.2,78.29,33.78,29.05,80.77,33.5,29.07,0,0,1,0,1,1,0,1,0,5804.65
71000,1,0,0,4,4,5.5,23,0,0,0,24.36,8.96,14658.39,198.3,80.7,34.56,29.69,78.69,33.55,28.94,0,0,1,0,1,1,0,1,0,5511.63
70000,1,0,0,3,5,6,30,0,0,0,24.98,9.53,15623.6,98.2,77.74,33.62,28.95,81.13,33.33,28.98,0,0,1,0,1,1,0,1,0,3337.21
70000,1,0,0,3,5,6,32,0,0,0,25.02,9.81,15882,62,77.14,33.5,28.9,81.9,33.39,29.03,0,0,1,0,1,1,0,1,0,3337.21
70000,1,0,0,4,4,5.5,24,0,0,0,24.31,9.01,14614.81,198.3,80.5,34.41,29.54,79.23,33.34,28.89,0,0,1,0,1,1,0,1,0,4238.37
70000,0,0,2.5,5,4,6,18,0,0,0,24.73,9.1,15505.82,118.3,79.27,33.99,29.2,80.25,33.42,28.93,1,0,1,0,1,1,0,1,0,4625.58
70000,1,0,0,4,4,5.5,24,0,0,0,24.36,8.95,15132.61,181.1,80.44,34.32,29.43,79.46,33.32,28.94,0,0,1,0,1,1,0,1,0,5441.86
67000,1,0,0,4,4,5.5,24,0,0,0,24.82,9.4,15785.73,98.2,78.29,33.78,29.05,80.77,33.39,29.02,0,0,1,0,1,1,0,1,0,4767.44
65000,1,0,0,3,4,5.5,20,0,0,0,24.89,9.48,15771.34,98.2,77.97,33.68,29,81.01,33.45,29.01,0,0,1,0,1,1,0,1,0,4576.74
71000,1,0,8.75,2,5,6,25,0,0,0,24.32,8.9,14930.25,181.3,80.62,34.39,29.49,79.3,33.26,28.87,0,0,1,0,1,0,0,1,0,4684.88
60000,0,0,0,3,1.3,6,25,0,0,0,24.36,8.95,15132.61,181.1,80.44,34.32,29.43,79.46,33.28,28.89,0,0,1,0,0,0,0,1,0,4081.4
70000,1,24,0,4,5,5,18,0,0,0,23.47,11.46,16006.31,95.8,80.84,35.06,29.14,81.09,35.2,29.19,0,0,1,0,1,1,0,1,0,4744.19
70000,1,24,0,4,5,5,20,0,0,0,23.46,11.48,15962.76,91.8,80.86,35.06,29.14,81.09,35.22,29.21,0,1,1,0,1,1,0,1,0,4651.16
62000,1,0,0,2,3,5.5,46,0,0,0,24.35,8.94,14619.55,198.3,80.67,34.52,29.63,78.92,33.47,28.9,0,0,1,0,1,1,0,1,0,5308.14
65000,1,0,15,2,1,6,25,0,0,0,23.63,9.12,16404.95,316.1,84.11,32.56,27.87,83.14,31.68,27.55,0,0,1,0,1,1,0,1,0,5244.19
64000,1,0,0,4,4,4.5,23,100,0,0,24.86,8.12,15658.82,195,80.82,33.89,29.44,80.16,32.32,28.18,0,0,1,0,0,0,0,1,0,4576.74
75500,1,23,0,3,4,5.5,20,0,0,0,25.07,9.62,15731.78,61.7,77.57,33.48,28.83,81.42,33.47,29.09,0,0,0,1,1,1,0,1,0,5547.56
73000,0,23,0,2,4,5.5,17,0,0,0,24.48,8.9,15307.87,188,80.9,34.64,29.72,78.65,33.27,28.72,0,0,0,1,1,1,0,1,0,5695.35
72000,1,0,0,4,4,6,28,0,0,0,24.79,9.1,15447.88,118.3,79.07,33.92,29.13,80.34,33.45,29.03,0,0,1,0,1,1,0,1,0,5339.53
73000,1,0,0,3,3,5,18,0,0,0,24.89,9.48,15771.34,98.2,77.97,33.68,29,81.01,33.36,28.94,0,0,1,0,1,1,0,1,0,4897.67
71000,1,0,0,3,4,6,19,0,0,0,24.36,8.95,15132.61,181.1,80.44,34.32,29.43,79.46,33.29,28.91,0,0,0,1,1,1,0,1,0,5953.49
71000,1,0,12,4,4,5,20,0,0,0,23.46,11.41,15899.72,116.3,80.95,35.25,29.31,81.02,35.17,29.18,0,0,0,1,1,1,0,1,0,4850.58
71000,1,20,10,4,5,5,21,0,0,0,23.42,11.44,16017.46,116.3,80.87,35.24,29.32,81.06,35.25,29.24,0,0,0,1,1,1,0,1,0,4651.16
70000,2,0,13.25,6,5,5,17,0,0,0,23.44,11.75,16301.31,76.7,80.85,35.03,29.14,81.2,35.5,29.42,0,0,1,0,0,1,0,1,0,4615.12
68000,1,0,0,2,4,5,25,0,0,0,24.73,9.1,15505.82,118.3,79.27,33.99,29.2,80.25,33.31,28.91,0,0,1,0,1,1,0,1,0,4632.56
72000,1,0,0,4,5,6,19,0,0,0,24.89,9.48,15771.34,98.2,77.97,33.68,29,81.01,33.4,28.96,0,0,0,1,1,1,0,1,0,5368.6
74000,1,23,0,3,4,5,23,0,0,0,24.65,9.02,15545.39,118.3,79.49,34.09,29.27,80.06,33.27,28.9,0,0,0,1,1,1,0,1,0,6511.63
71000,2,0,0,3,5,5.5,28,0,0,0,25.07,9.62,15731.78,61.7,77.57,33.48,28.83,81.42,33.91,29.33,0,0,1,0,1,1,0,1,0,2947.67
71000,1,24,20,4,5,5.5,18,0,0,0,23.44,11.41,15890.95,96.4,80.86,35.06,29.15,81.04,35.29,29.25,0,0,0,1,0,1,0,1,0,4803.49
76000,2,0,23,3,4,5,23,0,0,0,24.56,9,15314.59,145.1,79.89,34.19,29.33,79.87,33.31,28.91,0,0,0,1,1,1,0,1,0,6511.63
73000,1,0,0,3,5,6,35,0,0,0,24.73,9.1,15505.82,118.3,79.27,33.99,29.2,80.25,33.42,28.93,0,0,1,0,1,1,0,1,0,5372.09
75000,1,11.25,0,3,4,6,18,0,0,0,24.32,8.87,14849.71,198.3,80.67,34.42,29.5,79.21,33.33,28.9,0,0,0,1,1,1,0,1,0,4988.37
71000,1,0,0,2,4,6.5,32,0,0,0,24.82,9.4,15785.73,98.2,78.29,33.78,29.05,80.77,33.41,29.02,0,0,1,0,1,1,0,1,0,5244.19
73000,1,0,0,4,4,5.5,35,0,0,0,24.77,9.23,15588.59,104.6,78.77,33.86,29.08,80.52,33.37,29.01,1,0,1,0,1,1,0,1,0,5116.28
72000,1,0,0,4,5,6,26,0,0,0,24.79,9.1,15447.88,118.3,79.07,33.92,29.13,80.34,33.34,28.97,0,0,1,0,1,1,0,1,0,3527.91
70000,1,0,0,3,5,5.5,21,0,0,0,24.79,9.1,15447.88,118.3,79.07,33.92,29.13,80.34,33.56,29.05,0,0,1,0,1,1,0,1,0,3579.07
71000,2,0,0,7,4,6,25,0,0,0,25.07,9.62,15731.78,61.7,77.57,33.48,28.83,81.42,33.28,28.93,0,0,0,1,1,1,0,1,0,5308.14
70000,1,0,0,3,5,6,23,0,0,0,24.89,9.48,15771.34,98.2,77.97,33.68,29,81.01,33.43,29.03,0,0,1,0,1,1,0,1,0,3579.07
62500,0,0,0,2,4,6,21,0,0,0,24.98,9.53,15623.6,98.2,77.74,33.62,28.95,81.13,33.33,28.98,0,0,1,0,1,1,0,1,0,4615.12
71000,2,0,0,3,5,5.5,30,0,0,0,24.73,9.1,15505.82,118.3,79.27,33.99,29.2,80.25,33.5,28.96,1,0,1,0,1,1,0,1,0,2947.67
66000,1,0,0,3,5,6,31,0,0,0,25.07,9.73,15671.54,61.1,77.39,33.48,28.86,81.65,33.64,29.19,0,0,1,0,1,1,0,1,0,4238.37
73000,0,0,0,4,4,5.5,22,0,0,0,24.79,9.1,15447.88,118.3,79.07,33.92,29.13,80.34,33.34,28.97,0,0,0,1,1,1,0,1,0,4930.23
75000,2,0,0,3,3,5.5,7,0,0,0,24.98,9.53,15623.6,98.2,77.74,33.62,28.95,81.13,33.42,29.05,0,0,0,1,1,1,0,1,0,5180.23
75500,2,0,0,3,3,5.5,10,0,0,0,24.98,9.53,15623.6,98.2,77.74,33.62,28.95,81.13,33.3,28.96,0,0,0,1,1,1,0,1,0,5651.16
75000,2,23,0,1,5,6,33,0,0,0,24.89,9.48,15771.34,98.2,77.97,33.68,29,81.01,33.35,28.96,0,0,0,1,1,1,0,1,0,6626.74
73000,0,0,0,4,4,6,41,0,0,0,24.73,9.1,15505.82,118.3,79.27,33.99,29.2,80.25,33.42,28.98,0,0,1,0,1,1,0,1,0,4709.3
70000,1,0,0,3,5,6,24,0,0,0,24.89,9.48,15771.34,98.2,77.97,33.68,29,81.01,33.33,28.93,0,0,1,0,1,1,0,1,0,3623.26
65000,2,0,37.5,3,4,6,19,0,0,0,25.07,9.73,15671.54,61.1,77.39,33.48,28.86,81.65,33.67,29.23,1,0,1,0,1,1,0,1,0,4651.16
71000,1,0,0,3,4,6,25,0,31.67,0,24.77,9.23,15588.59,104.6,78.77,33.86,29.08,80.52,33.36,29.02,0,0,1,0,1,1,0,1,0,5180.23
